day,hour,original_load_mw,corrected_load_mw,reduction_mw,reason,margin_fraction,estimated_boundary_load_mw,requires_water_coupled_validation
61,20,6410,6260,150,TERMINAL_SOC_RECOVERY,0.01,6324.6467,1
62,3,3540,3360,180,SOC_LOWER_BEFORE_RECHARGE,0.01,3403.89,1
66,22,4030,3890,140,TERMINAL_SOC_RECOVERY,0.01,3931.34,1
96,20,3440,3400,39.9999999999995,TERMINAL_SOC_RECOVERY,0.01,3437.52,1
99,22,6640,6550,90,TERMINAL_SOC_RECOVERY,0.01,6616.21,1
119,20,3500,3320,180,TERMINAL_SOC_RECOVERY,0.01,3354.53,1
119,21,3410,3260,150,TERMINAL_SOC_RECOVERY,0.01,3301.5693,1
126,4,4060,3870,190,SOC_LOWER_BEFORE_RECHARGE,0.01,3913.13,1
126,6,3910,3720,190,SOC_LOWER_BEFORE_RECHARGE,0.01,3764.32,1
126,3,3390,3210,180,SOC_LOWER_BEFORE_RECHARGE,0.01,3247.72,1
126,7,3780,3710,70,SOC_LOWER_BEFORE_RECHARGE,0.01,3754.2777,1
131,19,8720,8480,240,TERMINAL_SOC_RECOVERY,0.01,8575.4,1
131,23,7970,7750,220,TERMINAL_SOC_RECOVERY,0.01,7835.53,1
137,23,4930,4740,190,TERMINAL_SOC_RECOVERY,0.01,4792.16,1
140,23,3840,3650,190,TERMINAL_SOC_RECOVERY,0.01,3692.22,1
140,19,4590,4440,150,TERMINAL_SOC_RECOVERY,0.01,4487.8982,1
144,5,4210,4020,190,SOC_LOWER_BEFORE_RECHARGE,0.01,4061.19,1
144,6,4620,4470,150,SOC_LOWER_BEFORE_RECHARGE,0.01,4518.0839,1
150,24,3190,3010,180,TERMINAL_SOC_RECOVERY,0.01,3042.22,1
150,18,5150,4950,200,TERMINAL_SOC_RECOVERY,0.01,5004.46,1
150,19,3890,3740,150,TERMINAL_SOC_RECOVERY,0.01,3780.6582,1
152,22,4320,4120,200,TERMINAL_SOC_RECOVERY,0.01,4171.39,1
152,23,4960,4810,150,TERMINAL_SOC_RECOVERY,0.01,4867.6059,1
156,20,3330,3150,180,TERMINAL_SOC_RECOVERY,0.01,3182.38,1
156,22,3680,3530,150,TERMINAL_SOC_RECOVERY,0.01,3567.9378,1
161,18,4380,4190,190,TERMINAL_SOC_RECOVERY,0.01,4232.33,1
161,19,3980,3910,70,TERMINAL_SOC_RECOVERY,0.01,3951.8162,1
166,20,6970,6750,219.999999999999,TERMINAL_SOC_RECOVERY,0.01,6822.31,1
166,19,8180,8070,109.999999999999,TERMINAL_SOC_RECOVERY,0.01,8155.1511,1
172,24,3330,3140,190,SOC_LOWER_BEFORE_RECHARGE,0.01,3181.66,1
