区段,字段,审计值,单位,工作表,来源标签,读取规则,备注
系统规模,火电数量,4,台,基础参数,火电数量,标签定位,必须等于4
系统规模,水电数量,4,座,基础参数,水电数量,标签定位,必须等于4
系统规模,风电数量,5,场,基础参数,风电数量,标签定位,必须等于5
系统规模,光伏数量,5,站,基础参数,光伏数量,标签定位,必须等于5
系统规模,储能数量,2,站,基础参数,储能数量,标签定位,必须等于2
时间,输入天数,365,日,Sheet1,计算天数(day),标签定位,正式时序长度
时间,时段数,24,小时/日,Sheet1,计算时段(hour),标签定位,
时间,时段长度,60,min,Sheet1,时段长度(min),标签定位,等于1小时
计划,计划功率基准,10000,MW,基础参数,单时段最大计划总出力(MW),标签定位,乘输入标幺曲线
储能,初始/末端SOC系数,0.5,比例,基础参数,储能容量初值系数,标签定位,每日首末
储能,SOC下限系数,0.1,比例,基础参数,储能容量下限系数,标签定位,
储能,SOC上限系数,0.9,比例,基础参数,储能容量上限系数,标签定位,
储能,充电效率,0.9,比例,基础参数,充电效率,按储能序号,两站
储能,放电效率,0.9,比例,基础参数,放电效率,按储能序号,两站
储能,时长,2,h,基础参数,储能时长(hour),按储能序号,E=2Q
目标,权重总和,0.997,无量纲,基础参数,8个目标权重,标签定位,阶段E前待决策
