dataset_id,名称,工作表,审计表头行,审计数据行,形状,单位,读取规则,备注
HYDRO_1,1号水电日用水上下限,Sheet1,3,4:368,365x2,m3/day,按区段标题+天数+时段列头定位,行号仅作审计
HYDRO_2,2号水电日用水上下限,Sheet1,369,370:734,365x2,m3/day,按区段标题+天数+时段列头定位,行号仅作审计
HYDRO_3,3号水电日用水上下限,Sheet1,735,736:1100,365x2,m3/day,按区段标题+天数+时段列头定位,行号仅作审计
HYDRO_4,4号水电日用水上下限,Sheet1,1101,1102:1466,365x2,m3/day,按区段标题+天数+时段列头定位,行号仅作审计
WIND_1,1号风电可用率,Sheet1,1467,1468:1832,365x24,p.u.,按区段标题+天数+时段列头定位,行号仅作审计
WIND_2,2号风电可用率,Sheet1,1833,1834:2198,365x24,p.u.,按区段标题+天数+时段列头定位,行号仅作审计
WIND_3,3号风电可用率,Sheet1,2199,2200:2564,365x24,p.u.,按区段标题+天数+时段列头定位,行号仅作审计
WIND_4,4号风电可用率,Sheet1,2565,2566:2930,365x24,p.u.,按区段标题+天数+时段列头定位,行号仅作审计
WIND_5,5号风电可用率,Sheet1,2931,2932:3296,365x24,p.u.,按区段标题+天数+时段列头定位,行号仅作审计
SOLAR_1,1号光伏可用率,Sheet1,3297,3298:3662,365x24,p.u.,按区段标题+天数+时段列头定位,行号仅作审计
SOLAR_2,2号光伏可用率,Sheet1,3663,3664:4028,365x24,p.u.,按区段标题+天数+时段列头定位,行号仅作审计
SOLAR_3,3号光伏可用率,Sheet1,4029,4030:4394,365x24,p.u.,按区段标题+天数+时段列头定位,行号仅作审计
SOLAR_4,4号光伏可用率,Sheet1,4395,4396:4760,365x24,p.u.,按区段标题+天数+时段列头定位,行号仅作审计
SOLAR_5,5号光伏可用率,Sheet1,4761,4762:5126,365x24,p.u.,按区段标题+天数+时段列头定位,行号仅作审计
PLAN,计划总出力标幺,Sheet1,5127,5128:5492,365x24,p.u.,按区段标题+天数+时段列头定位,行号仅作审计
