day,hydro_id,Wmin,W,Wmax,lower_margin,upper_margin,lower_violation,upper_violation,maximum_violation,status,physical_source,independent_daily_scope
14,1,35023.93,38850.299730888299,38915.480000000003,3826.3697308882984,65.180269111704547,0,0,0,PASS,final_unscaled_PH,true
14,2,34507.480000000003,38277.002856324492,38341.639999999999,3769.5228563244891,64.637143675507104,0,0,0,PASS,final_unscaled_PH,true
14,3,18049.599999999999,19998.776059220771,20055.110000000001,1949.176059220772,56.333940779230034,0,0,0,PASS,final_unscaled_PH,true
14,4,18070.5,20021.922560342355,20078.330000000002,1951.4225603423547,56.407439657647046,0,0,0,PASS,final_unscaled_PH,true
15,1,34974.580000000002,38814.450509314825,38860.639999999999,3839.8705093148237,46.189490685173951,0,0,0,PASS,final_unscaled_PH,true
15,2,34446.559999999998,38228.206728976176,38273.959999999999,3781.6467289761786,45.75327102382289,0,0,0,PASS,final_unscaled_PH,true
15,3,18130.82,20104.168510098025,20145.349999999999,1973.3485100980251,41.181489901973691,0,0,0,PASS,final_unscaled_PH,true
15,4,18834.439999999999,20884.93013898662,20927.150000000001,2050.4901389866209,42.219861013381887,0,0,0,PASS,final_unscaled_PH,true
16,1,34442.010000000002,38038.448163635221,38268.900000000001,3596.4381636352191,230.45183636478032,0,0,0,PASS,final_unscaled_PH,true
16,2,34566.800000000003,38176.395087375138,38407.559999999998,3609.5950873751353,231.16491262485943,0,0,0,PASS,final_unscaled_PH,true
16,3,18267.790000000001,20148.953099519815,20297.540000000001,1881.1630995198138,148.58690048018616,0,0,0,PASS,final_unscaled_PH,true
16,4,18641.279999999999,20559.914079922117,20712.529999999999,1918.634079922118,152.61592007788204,0,0,0,PASS,final_unscaled_PH,true
17,1,34716.970000000001,38457.797800522254,38574.410000000003,3740.8278005222528,116.61219947774953,0,0,0,PASS,final_unscaled_PH,true
17,2,34602.239999999998,38330.608996141156,38446.93,3728.3689961411583,116.32100385884405,0,0,0,PASS,final_unscaled_PH,true
17,3,18030.740000000002,19951.830106113004,20034.16,1921.0901061130025,82.329893886995706,0,0,0,PASS,final_unscaled_PH,true
17,4,18310.279999999999,20260.411706619379,20344.759999999998,1950.1317066193806,84.348293380618998,0,0,0,PASS,final_unscaled_PH,true
18,1,34871.510000000002,38728.513484083924,38746.120000000003,3857.0034840839216,17.606515916078934,0,0,0,PASS,final_unscaled_PH,true
18,2,35081.839999999997,38962.162839870667,38979.82,3880.3228398706706,17.657160129332624,0,0,0,PASS,final_unscaled_PH,true
18,3,18009.099999999999,19993.561065357375,20010.110000000001,1984.4610653573764,16.548934642625682,0,0,0,PASS,final_unscaled_PH,true
18,4,18063.330000000002,20053.784207809269,20070.369999999999,1990.4542078092672,16.58579219072999,0,0,0,PASS,final_unscaled_PH,true
19,1,34738.940000000002,38571.175200935162,38598.82,3832.2352009351598,27.644799064837571,0,0,0,PASS,final_unscaled_PH,true
19,2,34447.959999999999,38247.955300771464,38275.510000000002,3799.9953007714648,27.554699228538084,0,0,0,PASS,final_unscaled_PH,true
19,3,18319.950000000001,20329.191713241831,20355.5,2009.2417132418304,26.308286758168833,0,0,0,PASS,final_unscaled_PH,true
19,4,18267.07,20270.443712741788,20296.740000000002,2003.373712741788,26.296287258213852,0,0,0,PASS,final_unscaled_PH,true
20,1,34463.269999999997,38247.500399971694,38292.519999999997,3784.2303999716969,45.019600028303103,0,0,0,PASS,final_unscaled_PH,true
20,2,34906.730000000003,38739.863157892149,38785.260000000002,3833.1331578921454,45.396842107853445,0,0,0,PASS,final_unscaled_PH,true
20,3,18048.439999999999,20013.807194312456,20053.82,1965.3671943124573,40.012805687543732,0,0,0,PASS,final_unscaled_PH,true
20,4,18259.790000000001,20248.264633898645,20288.650000000001,1988.4746338986442,40.38536610135634,0,0,0,PASS,final_unscaled_PH,true
