iteration,day_id,object_type,dimension,rhs_count,factorization_count,minimum_absolute_pivot,pivot_tolerance,numerical_zero_pivot_count,maximum_rhs_relative_residual,local_residual_target_met,warning_identifier,warning_present,warning_continued,blocking_warning_present,solution_finite,final_kkt_gate_applies,full_kkt_direction_consumed
1,14,daily_joint,617,15,1,5.2313225937923473e-05,1.0960121699099545e-12,0,2.4976595883395297e-14,true,,false,false,false,true,true,false
1,15,daily_joint,618,15,1,5.2274330048252489e-05,1.0977885267493548e-12,0,3.0352395389141723e-14,true,,false,false,false,true,true,false
1,16,daily_joint,617,15,1,5.3255137926913378e-05,5.4800608495497727e-13,0,1.6572645882462978e-14,true,,false,false,false,true,true,false
1,17,daily_joint,618,15,1,5.174324107174416e-05,1.0977885267493548e-12,0,3.2053341491780022e-15,true,,false,false,false,true,true,false
1,18,daily_joint,618,15,1,5.1936228461503851e-05,1.0977885267493548e-12,0,3.0972356572156534e-14,true,,false,false,false,true,true,false
1,19,daily_joint,618,15,1,5.2188400060190612e-05,1.0977885267493548e-12,0,2.6739857719807214e-14,true,,false,false,false,true,true,false
1,20,daily_joint,618,15,1,5.2585184576048936e-05,1.0977885267493548e-12,0,3.4598771258537208e-14,true,,false,false,false,true,true,false
1,NaN,global_core_16,16,1,1,0.61803398874989479,7.1054273576010019e-15,0,2.6699312805237343e-16,true,,false,false,false,true,true,false
2,14,daily_joint,617,15,1,5.8442022628564882e-05,1.0960121699099545e-12,0,2.6604032829175072e-14,true,,false,false,false,true,true,false
2,15,daily_joint,618,15,1,4.5401086447353861e-05,1.0977885267493548e-12,0,2.7073753275820531e-14,true,,false,false,false,true,true,false
2,16,daily_joint,617,15,1,0.00010300609159030608,1.0960121699099545e-12,0,7.4684477675256767e-15,true,,false,false,false,true,true,false
2,17,daily_joint,618,15,1,0.00010191361931402102,1.0977885267493548e-12,0,2.7513088033009829e-15,true,,false,false,false,true,true,false
2,18,daily_joint,618,15,1,6.3737892770784657e-05,1.0977885267493548e-12,0,1.3110786070557541e-14,true,,false,false,false,true,true,false
2,19,daily_joint,618,15,1,4.2731239026422151e-05,1.0977885267493548e-12,0,2.1606334472137893e-14,true,,false,false,false,true,true,false
2,20,daily_joint,618,15,1,3.0675671646742462e-05,1.0977885267493548e-12,0,2.7492471166653557e-14,true,,false,false,false,true,true,false
2,NaN,global_core_16,16,1,1,0.61803398874989479,7.1054273576010019e-15,0,5.0972565235704114e-16,true,,false,false,false,true,true,false
3,14,daily_joint,617,15,1,6.4974655922484057e-05,1.0960121699099545e-12,0,1.5690743725363894e-14,true,,false,false,false,true,true,false
3,15,daily_joint,618,15,1,5.64589009618203e-05,1.0977885267493548e-12,0,1.2803848483299317e-14,true,,false,false,false,true,true,false
3,16,daily_joint,617,15,1,9.4995850851526138e-05,1.0960121699099545e-12,0,7.8873263154126794e-15,true,,false,false,false,true,true,false
3,17,daily_joint,618,15,1,9.338744960058409e-05,1.0977885267493548e-12,0,5.201203064608234e-15,true,,false,false,false,true,true,false
3,18,daily_joint,618,15,1,6.810283863828812e-05,1.0977885267493548e-12,0,1.5762106481516042e-14,true,,false,false,false,true,true,false
3,19,daily_joint,618,15,1,5.4343930381003709e-05,1.0977885267493548e-12,0,1.4403925732863037e-14,true,,false,false,false,true,true,false
3,20,daily_joint,618,15,1,4.5561976655448626e-05,1.0977885267493548e-12,0,1.843979226572609e-14,true,,false,false,false,true,true,false
3,NaN,global_core_16,16,1,1,0.61803398874989512,7.1054273576010019e-15,0,1.2956948982346621e-16,true,,false,false,false,true,true,false
4,14,daily_joint,617,15,1,4.804581235982875e-05,1.0960121699099545e-12,0,1.5248231263422559e-14,true,,false,false,false,true,true,false
4,15,daily_joint,618,15,1,3.216634001211396e-05,5.4889426337467739e-13,0,2.1317888290231055e-14,true,,false,false,false,true,true,false
4,16,daily_joint,617,15,1,9.7649251700869795e-05,1.0960121699099545e-12,0,3.311766921034688e-15,true,,false,false,false,true,true,false
4,17,daily_joint,618,15,1,8.2086840555969419e-05,1.0977885267493548e-12,0,1.0074151093390857e-14,true,,false,false,false,true,true,false
4,18,daily_joint,618,15,1,2.9324631208490098e-05,1.0977885267493548e-12,0,3.4003033382813905e-14,true,,false,false,false,true,true,false
4,19,daily_joint,618,15,1,3.3137868353705108e-05,1.0977885267493548e-12,0,2.0365562485496852e-14,true,,false,false,false,true,true,false
4,20,daily_joint,618,15,1,1.5037511812588572e-05,1.0977885267493548e-12,0,5.2834114359549874e-14,true,,false,false,false,true,true,false
4,NaN,global_core_16,16,1,1,0.69931406853550393,7.1054273576010019e-15,0,1.1755481530139627e-16,true,,false,false,false,true,true,false
5,14,daily_joint,617,15,1,5.7135624729668294e-05,1.0960121699099545e-12,0,1.2859085194190027e-14,true,,false,false,false,true,true,false
5,15,daily_joint,618,15,1,2.4819799722712007e-05,1.0977885267493548e-12,0,2.221082951084619e-14,true,,false,false,false,true,true,false
5,16,daily_joint,617,15,1,9.2673478996626582e-05,5.4800608495497727e-13,0,2.5061994889071907e-15,true,,false,false,false,true,true,false
5,17,daily_joint,618,15,1,5.7188111995453685e-05,1.0977885267493548e-12,0,1.9690775660895476e-14,true,,false,false,false,true,true,false
5,18,daily_joint,618,15,1,8.6413877060543787e-06,1.0977885267493548e-12,0,8.0786557975962768e-14,true,,false,false,false,true,true,false
5,19,daily_joint,618,15,1,2.5605357104052712e-05,1.0977885267493548e-12,0,9.6864104086211882e-15,true,,false,false,false,true,true,false
5,20,daily_joint,618,15,1,1.3321700366358973e-05,1.0977885267493548e-12,0,4.4191661215290386e-14,true,,false,false,false,true,true,false
5,NaN,global_core_16,16,1,1,0.61803398874989479,3.5527136788005009e-15,0,3.149655478271688e-16,true,,false,false,false,true,true,false
6,14,daily_joint,617,15,1,5.8945239569602653e-05,5.4800608495497727e-13,0,1.3898421124753581e-14,true,,false,false,false,true,true,false
6,15,daily_joint,618,15,1,2.0784140125811622e-05,1.0977885267493548e-12,0,2.4456051250212898e-14,true,,false,false,false,true,true,false
6,16,daily_joint,617,15,1,9.3543019636287993e-05,5.4800608495497727e-13,0,2.9203737874355823e-15,true,,false,false,false,true,true,false
6,17,daily_joint,618,15,1,5.1086471297944693e-05,1.0977885267493548e-12,0,1.9479291238374812e-14,true,,false,false,false,true,true,false
6,18,daily_joint,618,15,1,3.3101710371977796e-06,1.0977885267493548e-12,0,2.8770523442078818e-13,true,,false,false,false,true,true,false
6,19,daily_joint,618,15,1,2.1773895353949273e-05,1.0977885267493548e-12,0,1.5478005940606852e-14,true,,false,false,false,true,true,false
6,20,daily_joint,618,15,1,5.2208433169322852e-06,1.0977885267493548e-12,0,1.6388380663437535e-13,true,,false,false,false,true,true,false
6,NaN,global_core_16,16,1,1,0.99001522129000663,3.5527136788005009e-15,0,8.7074755603185972e-17,true,,false,false,false,true,true,false
7,14,daily_joint,617,15,1,6.6574246573264563e-05,1.0960121699099545e-12,0,8.0522458894369795e-15,true,,false,false,false,true,true,false
7,15,daily_joint,618,15,1,2.5817281734585985e-05,1.0977885267493548e-12,0,2.7922453846317119e-14,true,,false,false,false,true,true,false
7,16,daily_joint,617,15,1,0.00010108864713319639,5.4800608495497727e-13,0,2.509013693894741e-15,true,,false,false,false,true,true,false
7,17,daily_joint,618,15,1,4.7542478950095119e-05,1.0977885267493548e-12,0,2.7961763032537978e-14,true,,false,false,false,true,true,false
7,18,daily_joint,618,15,1,1.0651913435133425e-05,1.0977885267493548e-12,0,9.6528320653934785e-14,true,,false,false,false,true,true,false
7,19,daily_joint,618,15,1,2.5719731551671242e-05,1.0977885267493548e-12,0,1.0822016341238478e-14,true,,false,false,false,true,true,false
7,20,daily_joint,618,15,1,7.2641220218791624e-06,1.0977885267493548e-12,0,1.1564359926709214e-13,true,,false,false,false,true,true,false
7,NaN,global_core_16,16,1,1,0.8086282464000405,3.5527136788005009e-15,0,1.63796079514387e-16,true,,false,false,false,true,true,false
8,14,daily_joint,617,15,1,5.7784364613827345e-05,5.4800608495497727e-13,0,2.8887821649838962e-15,true,,false,false,false,true,true,false
8,15,daily_joint,618,15,1,5.9969332247743947e-05,1.0977885267493548e-12,0,4.4034719953663014e-15,true,,false,false,false,true,true,false
8,16,daily_joint,617,15,1,7.416089060516795e-05,5.4800608495497727e-13,0,1.4881946772143217e-15,true,,false,false,false,true,true,false
8,17,daily_joint,618,15,1,3.1595630357956945e-05,5.4889426337467739e-13,0,9.9458762413640499e-15,true,,false,false,false,true,true,false
8,18,daily_joint,618,15,1,3.0448692756829183e-05,1.0977885267493548e-12,0,6.9098541123117586e-15,true,,false,false,false,true,true,false
8,19,daily_joint,618,15,1,3.2691771992501035e-05,1.0977885267493548e-12,0,2.2189678902833224e-15,true,,false,false,false,true,true,false
8,20,daily_joint,618,15,1,2.9597258060148393e-05,1.0977885267493548e-12,0,5.7350161619443794e-15,true,,false,false,false,true,true,false
8,NaN,global_core_16,16,1,1,0.61803398874989479,3.5527136788005009e-15,0,1.4862127927767892e-16,true,,false,false,false,true,true,false
9,14,daily_joint,617,15,1,8.5686307924286417e-05,5.4800608495497727e-13,0,4.233568503501227e-13,true,,false,false,false,true,true,false
9,15,daily_joint,618,15,1,0.00012891242758436086,1.0977885267493548e-12,0,2.3629588491110377e-13,true,,false,false,false,true,true,false
9,16,daily_joint,617,15,1,9.5998223852032381e-05,5.4800608495497727e-13,0,3.3410115297629679e-13,true,,false,false,false,true,true,false
9,17,daily_joint,618,15,1,4.734236752431012e-05,1.0977885267493548e-12,0,2.6193590619500749e-13,true,,false,false,false,true,true,false
9,18,daily_joint,618,15,1,7.9517155631308572e-05,1.0977885267493548e-12,0,1.9756368107488696e-13,true,,false,false,false,true,true,false
9,19,daily_joint,618,15,1,5.2822207914265716e-05,1.0977885267493548e-12,0,2.4988617607025879e-13,true,,false,false,false,true,true,false
9,20,daily_joint,618,15,1,8.3295393106305572e-05,1.0977885267493548e-12,0,1.6969121411090304e-13,true,,false,false,false,true,true,false
9,NaN,global_core_16,16,1,1,0.61803398874989479,3.5527136788005009e-15,0,3.356709303012162e-16,true,,false,false,false,true,true,false
10,14,daily_joint,617,15,1,0.00016243595240066105,5.4800608495497727e-13,0,9.8746075773818188e-13,true,,false,false,false,true,true,false
10,15,daily_joint,618,15,1,0.0002494539562629916,1.0977885267493548e-12,0,8.3540159756544657e-13,true,,false,false,false,true,true,false
10,16,daily_joint,617,15,1,0.00017526436840730172,5.4800608495497727e-13,0,1.0009306319710517e-12,true,,false,false,false,true,true,false
10,17,daily_joint,618,15,1,0.00010211037945241388,1.0977885267493548e-12,0,1.0066479960312064e-12,true,,false,false,false,true,true,false
10,18,daily_joint,618,15,1,0.00017244299932817913,1.0977885267493548e-12,0,9.6786933179244955e-13,true,,false,false,false,true,true,false
10,19,daily_joint,618,15,1,0.00010363203816257118,1.0977885267493548e-12,0,7.0538752333502919e-13,true,,false,false,false,true,true,false
10,20,daily_joint,618,15,1,0.0001781784574919947,1.0977885267493548e-12,0,1.0969882947273232e-12,true,,false,false,false,true,true,false
10,NaN,global_core_16,16,1,1,0.61803398874989479,3.5527136788005009e-15,0,3.1913672579713319e-16,true,,false,false,false,true,true,false
11,14,daily_joint,617,15,1,0.00024428859375721831,5.4800608495497727e-13,0,1.8138720508222426e-12,true,,false,false,false,true,true,false
11,15,daily_joint,618,15,1,0.00035763953198889676,1.0977885267493548e-12,0,1.2520285286102912e-12,true,,false,false,false,true,true,false
11,16,daily_joint,617,15,1,0.00022976817831554133,5.4800608495497727e-13,0,1.6272467428262936e-12,true,,false,false,false,true,true,false
11,17,daily_joint,618,15,1,0.00014418698783746887,1.0977885267493548e-12,0,1.1276382084375615e-12,true,,false,false,false,true,true,false
11,18,daily_joint,618,15,1,0.00025235673814691666,1.0977885267493548e-12,0,2.2884564259368108e-12,true,,false,false,false,true,true,false
11,19,daily_joint,618,15,1,0.00014380613362381098,1.0977885267493548e-12,0,1.1433875772238143e-12,true,,false,false,false,true,true,false
11,20,daily_joint,618,15,1,0.00026209325393514968,1.0977885267493548e-12,0,1.0716676171931807e-12,true,,false,false,false,true,true,false
