iteration,direction_relative_error,xi_relative_error,y_relative_error,l_relative_error,z_relative_error,recursive_full_kkt_relative_residual,full_kkt_relative_residual,maximum_direction_difference,maximum_direction_index,maximum_recursive_residual,maximum_recursive_residual_row,maximum_full_residual,maximum_full_residual_row,no_full_direction_fallback,full_kkt_audit_only,recursive_direction_is_formal,full_direction_consumed_by_recursive,linearization_identity
1,1.5029789793378361e-13,1.1269335987709903e-12,3.054170585732721e-13,1.2307757145017261e-13,8.8438144160260353e-13,1.2164297764371479e-14,1.0104540523489768e-14,3.4834499729186064e-09,157,2.1588864029808974e-10,2810,1.6301426875031666e-10,3215,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=2ddf861c32c4e5be286f60b11c4eb5dc6502bf1e6a3c5a40c8c761dd2a30d4aa|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
2,5.7436153822702791e-13,4.4755397406032436e-12,6.9159615388964709e-13,4.7025147571957775e-13,2.3743732713084488e-12,1.3537531742254578e-14,8.4659505722313965e-15,6.8335168634803267e-09,3269,4.7559009508368888e-10,3326,2.4798524345115425e-10,3351,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=a2a577246413f756e2220d1c53f3669a31933ffb4ed427e8fe9f2aebd3e2afcc|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
3,4.9046052366357886e-13,3.8790754102300914e-12,8.8947534820132585e-13,4.0152768227981344e-13,4.0095439374357268e-12,6.0780111173686875e-15,5.0986569729294906e-15,5.1217980967521726e-09,3566,1.7841306210186758e-10,3633,1.252730141843017e-10,400,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=73676263f2296bc8d1ce023cdb22f8ec65219d9f9095d0cc22c535bd40d8c78d|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
4,8.2011909867803818e-13,5.1514099775879357e-12,3.0434409925025153e-12,6.7246962925533771e-13,4.0676141186788694e-12,6.4784626882210582e-15,7.0223941276906375e-15,5.6759716926535475e-09,3614,9.9066199688024881e-11,3567,1.1139666966641926e-10,3614,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=43ccb343a71589bdd5729dbeb410c2189ffd7ed9e2d06db87459367297e168f7|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
5,1.3151003895524069e-12,5.0375915457055846e-12,4.6130551666883904e-13,1.0861718087838665e-12,1.2823792098454815e-12,1.0984947459568465e-14,1.2875544804311878e-14,9.8405719128891178e-09,2582,1.0692202678797003e-10,2199,9.4225682811810429e-11,2462,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=1af77d32b3e8e6ff72c3d7e345090ce68c9ab724f9daca080e02a2cb6bb2654e|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
6,2.4025270091743791e-12,1.4464961674919185e-11,9.1551643131830852e-13,1.970735179037968e-12,2.8132956911447558e-12,2.4569690942119122e-14,2.8047155008513121e-14,1.1447311654144698e-08,2582,1.6125922819298921e-10,3590,2.3050583664030455e-10,2658,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=e36aad36859644dc89bbe18e510fda2cb6dd7eb4393ce3cbf46a0de5a72b0f03|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
7,1.2702250271552915e-12,7.2212394380401907e-12,1.767547979832445e-13,1.0426052695844597e-12,3.9931693963698992e-13,3.8549759020600252e-15,2.8169130486010712e-15,1.5917933637865644e-09,3709,1.2949641359227826e-11,3690,1.5243140083498474e-11,3634,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=0ad9a9610acf01394be45ec20f85f11b6631f9c9aa416e2d647aeeed5f6e7c8f|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
8,5.2281884360176274e-13,2.8502455479077752e-12,1.7320061792983327e-15,4.323075225995688e-13,3.9552974240070323e-15,2.0176906941673795e-15,5.175855580667445e-16,2.294444634287629e-10,2791,1.7099655025276661e-12,3758,3.091971123581061e-13,3117,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=d106386692cfba97db40a39a9f8a06dd11cf51cc3ac600b9352657591655b2b4|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
9,3.5366245462981847e-13,3.6355734689117541e-13,1.058037727328984e-15,3.5596642647973034e-13,1.5719961578358289e-15,3.3256344523888155e-15,2.0327557547071488e-17,1.6322054818829201e-11,2085,1.603536747829537e-12,3772,5.773159728050814e-15,1827,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=cdcd201b06fd8447396cdb12c27b1fc4564869f28a0cd2470da996f55f7d22d9|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
10,2.144489297407423e-13,1.9006153577741493e-13,9.0004752064539941e-16,2.3118557890974623e-13,1.3870098178939919e-15,1.0096090136889459e-14,4.6101802499711618e-17,7.0254912998279906e-12,2086,2.0479173912235638e-12,4012,4.7184478546569153e-15,1092,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=9e9c49266b93f4de94bc8c3eca20ab245c0051dfa74e2e99b2f718fdb14d19ae|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
