day,hydro_id,Wmin,W,Wmax,lower_margin,upper_margin,lower_violation,upper_violation,maximum_violation,status,physical_source,independent_daily_scope
14,1,35023.93,38854.251050200495,38915.480000000003,3830.3210502004949,61.228949799507973,0,0,0,PASS,final_unscaled_PH,true
14,2,34507.480000000003,38280.855431606775,38341.639999999999,3773.3754316067716,60.784568393224617,0,0,0,PASS,final_unscaled_PH,true
14,3,18049.599999999999,19999.492954903846,20055.110000000001,1949.8929549038476,55.61704509615447,0,0,0,PASS,final_unscaled_PH,true
14,4,18070.5,20022.639539316762,20078.330000000002,1952.1395393167622,55.690460683239507,0,0,0,PASS,final_unscaled_PH,true
15,1,34974.580000000002,38818.109799506994,38860.639999999999,3843.5297995069923,42.530200493005395,0,0,0,PASS,final_unscaled_PH,true
15,2,34446.559999999998,38231.768917410933,38273.959999999999,3785.2089174109351,42.191082589066355,0,0,0,PASS,final_unscaled_PH,true
15,3,18130.82,20104.800944184306,20145.349999999999,1973.9809441843063,40.549055815692554,0,0,0,PASS,final_unscaled_PH,true
15,4,18834.439999999999,20885.581384202113,20927.150000000001,2051.1413842021138,41.568615797888924,0,0,0,PASS,final_unscaled_PH,true
16,1,34442.010000000002,38040.210092701687,38268.900000000001,3598.2000927016852,228.68990729831421,0,0,0,PASS,final_unscaled_PH,true
16,2,34566.800000000003,38178.158464617496,38407.559999999998,3611.3584646174932,229.40153538250161,0,0,0,PASS,final_unscaled_PH,true
16,3,18267.790000000001,20149.404546821464,20297.540000000001,1881.6145468214636,148.13545317853641,0,0,0,PASS,final_unscaled_PH,true
16,4,18641.279999999999,20560.359486079618,20712.529999999999,1919.0794860796195,152.17051392038047,0,0,0,PASS,final_unscaled_PH,true
17,1,34716.970000000001,38462.209589998121,38574.410000000003,3745.2395899981202,112.20041000188212,0,0,0,PASS,final_unscaled_PH,true
17,2,34602.239999999998,38335.007465039787,38446.93,3732.7674650397894,111.92253496021294,0,0,0,PASS,final_unscaled_PH,true
17,3,18030.740000000002,19952.861415529762,20034.16,1922.1214155297603,81.298584470237984,0,0,0,PASS,final_unscaled_PH,true
17,4,18310.279999999999,20261.427473815671,20344.759999999998,1951.1474738156721,83.332526184327435,0,0,0,PASS,final_unscaled_PH,true
18,1,34871.510000000002,38734.660442846216,38746.120000000003,3863.150442846214,11.459557153786591,0,0,0,PASS,final_unscaled_PH,true
18,2,35081.839999999997,38968.513315814998,38979.82,3886.6733158150018,11.306684185001359,0,0,0,PASS,final_unscaled_PH,true
18,3,18009.099999999999,19994.285643667255,20010.110000000001,1985.185643667257,15.824356332745083,0,0,0,PASS,final_unscaled_PH,true
18,4,18063.330000000002,20054.511240926418,20070.369999999999,1991.1812409264166,15.858759073580586,0,0,0,PASS,final_unscaled_PH,true
19,1,34738.940000000002,38574.892536698433,38598.82,3835.9525366984308,23.927463301566604,0,0,0,PASS,final_unscaled_PH,true
19,2,34447.959999999999,38251.626378734334,38275.510000000002,3803.666378734335,23.883621265667898,0,0,0,PASS,final_unscaled_PH,true
19,3,18319.950000000001,20329.75146962201,20355.5,2009.8014696220089,25.748530377990392,0,0,0,PASS,final_unscaled_PH,true
19,4,18267.07,20271.001185396588,20296.740000000002,2003.9311853965883,25.73881460341363,0,0,0,PASS,final_unscaled_PH,true
20,1,34463.269999999997,38251.629913520526,38292.519999999997,3788.3599135205295,40.890086479470483,0,0,0,PASS,final_unscaled_PH,true
20,2,34906.730000000003,38744.098545510373,38785.260000000002,3837.3685455103696,41.16145448962925,0,0,0,PASS,final_unscaled_PH,true
20,3,18048.439999999999,20014.561585015119,20053.82,1966.1215850151202,39.258414984880801,0,0,0,PASS,final_unscaled_PH,true
20,4,18259.790000000001,20249.023056982063,20288.650000000001,1989.2330569820624,39.626943017938174,0,0,0,PASS,final_unscaled_PH,true
