iteration,state_update_accepted,objective_raw,objective_scaled,primal_equality_inf,primal_inequality_inf,dual_raw_inf,dual_scaled_inf,mean_lz_raw,mean_lz_scaled,alpha_primal,alpha_dual,sigma,tau,min_l_before,min_z_before,min_l_after,min_z_after,water_hessian_nnz,water_hessian_fro_norm,recursive_full_kkt_relative_residual,full_kkt_direction_relative_error,daily_local_response_maximum_relative_residual,recursive_final_kkt_relative_residual,daily_numerical_zero_pivot_day_count,daily_joint_factorization_count,full_kkt_audit_executed,maximum_water_violation,iteration_time_seconds,cumulative_time_seconds,convergence_candidate,convergence_accepted,fixed_zero_count,fixed_zero_maximum_absolute_value,fixed_zero_maximum_absolute_direction,fixed_zero_exact,uncorrected_primal_inequality_inf,water_correction_maximum_absolute_remainder,water_correction_maximum_trial_residual,water_correction_maximum_corrected_residual,water_correction_maximum_closure_error,water_correction_minimum_corrected_l,water_correction_rebuild_closure_error,water_slack_second_order_correction_applied,water_slack_second_order_correction_scope_count,water_correction_fraction,water_correction_fraction_limited,full_water_correction_centrality_safe,full_water_correction_feasible,minimum_full_correction_candidate_l,minimum_corrected_to_trial_water_slack_ratio,water_correction_limiting_constraint_id
1,true,49313516916.009804,10022.77707569568,2855.6091186734338,23527.830034608771,192640882.45603254,39.153496673348585,1120416258.054239,227.7201686018262,0.21190823968791225,0.18430215263857133,0.10000000000000001,0.99950000000000006,0.441,1,0.047499999999985221,0.00049999999999994493,0,0,1.2164297764371479e-14,1.5029789793378361e-13,3.4598771258537208e-14,1.2164299040292979e-14,0,8,true,23526.839272677207,18.3788555,18.394795599999998,false,false,422,0,0,true,23533.529758012206,9.6310111342554592,23533.529758012206,23527.830034608771,3.637978807091713e-12,0.6723687492127759,3.637978807091713e-12,true,56,0.62518853005005393,true,false,false,-2.9374446911218106,0.10045000000000014,INEQ-WATER-D020-HYDRO01-UPPER
2,true,49692786965.714165,10099.862211727434,2684.2452772791576,22115.935350550895,97831177.186836243,19.883799439139349,764947599.56979501,155.47257110326873,0.060009558126738305,0.49215776039042636,0.10000000000000001,0.99950000000000006,0.047499999999985221,0.00049999999999994493,0.0043672118100808177,0.00018078394353104876,672,0.00133812171975653,1.3537531742254578e-14,5.7436153822702791e-13,2.7492471166653557e-14,1.3537532429778809e-14,0,8,true,22114.109395689986,18.122129099999999,36.880550399999997,false,false,422,0,0,true,22116.403031478771,0.46875832767773318,22116.403031478771,22115.935350550895,3.637978807091713e-12,1.5284336329489361,3.637978807091713e-12,true,56,1,false,true,true,1.5284336329489361,0.7652913005264409,
3,true,50422118484.83429,10248.095955487175,1546.6482001226505,12761.191905642512,31762128.89821884,6.4555269489004417,397343824.25548351,80.758559153265026,0.42380518903608216,0.67533735347413748,0.10000000000000001,0.99950000000000006,0.0043672118100808177,0.00018078394353104876,0.022214847994796116,3.9505552570609503e-05,672,0.0035009694537834713,6.0780111173686875e-15,4.9046052366357886e-13,1.843979226572609e-14,6.0780082441281106e-15,0,8,true,12759.443863450928,16.866779099999999,54.153889300000003,false,false,422,0,0,true,12767.314444860798,27.495600765618292,12767.314444860798,12761.191905642512,3.879563337250147e-12,0.77591686056548514,3.879563337250147e-12,true,56,0.25271285995431486,true,false,false,-19.771191999411357,0.10044999999999983,INEQ-WATER-D020-HYDRO01-UPPER
4,true,50877370081.209793,10340.624040060777,768.67510581329225,6364.6639509636243,11518749.304809399,2.3411401922430723,210801533.63268077,42.844577125043607,0.50300585113516127,0.63734328571863008,0.10000000000000001,0.99950000000000006,0.022214847994796116,3.9505552570609503e-05,0.022040429900414438,2.739473179623475e-05,672,0.0041693791623202137,6.4784626882210582e-15,8.2011909867803818e-13,5.2834114359549874e-14,6.4784584271926675e-15,0,8,true,6362.8705973049218,17.857251699999999,72.306945999999996,false,false,422,0,0,true,6368.4283165590095,34.412257824018525,6368.4283165590095,6364.6639509636243,2.0321522242738865e-12,0.54969563791516141,2.0321522242738865e-12,true,56,0.14372960534441986,true,false,false,-28.881534890333754,0.10044999999999982,INEQ-WATER-D018-HYDRO01-UPPER
5,true,51116860604.465202,10389.299540743865,559.54877290581317,4633.8761965171261,10670481.425358595,2.1687331041278806,178116015.48665872,36.201374967323872,0.27206075925434353,0.073642359687143041,0.10000000000000001,0.99950000000000006,0.022040429900414438,2.739473179623475e-05,0.023368653312608956,0.00059803251745162037,672,0.0037820901754028395,1.0984947459568465e-14,1.3151003895524069e-12,8.0786557975962768e-14,1.0984949647873735e-14,0,8,true,4632.495542855926,18.540923200000002,91.246767199999994,false,false,422,0,0,true,4635.4751587153678,3.0509031776202846,4635.4751587153678,4633.8761965171261,9.6278540695493575e-13,0.19968554820199369,9.6278540695493575e-13,true,56,0.66999890340998602,true,false,false,-0.68108603205355678,0.10044999999999986,INEQ-WATER-D018-HYDRO01-UPPER
6,true,51106525886.199188,10387.19905017255,129.88188018789788,1083.892598095126,10283652.043501351,2.0901115637642564,120661198.79472835,24.523910944448165,0.76788103829912546,0.036252289511318703,0.10000000000000001,0.99950000000000006,0.023368653312608956,0.00059803251745162037,0.031446394017535795,0.00026388557112033695,672,0.0036943692868643442,2.4569690942119122e-14,2.4025270091743791e-12,2.8770523442078818e-13,2.4569692496793111e-14,0,8,true,1082.6882453192302,17.349284999999998,108.9453803,false,false,422,0,0,true,1087.0408307181829,12.922103762052757,1087.0408307181829,1083.892598095126,9.1526786150097905e-13,0.397435876663494,9.1526786150097905e-13,true,56,0.27542871201803582,true,false,false,-8.9655494896436565,0.10044999999999998,INEQ-WATER-D020-HYDRO02-UPPER
7,true,51121557393.465195,10390.254144513023,75.793122778529323,632.51012879792052,11069.95386117922,0.0022499242951543597,26565278.027855352,5.3992875843870145,0.41644575310365833,0.99950000000000006,0.10000000000000001,0.99950000000000006,0.031446394017535795,0.00026388557112033695,0.0015668614678108206,0.0015077019825983215,672,0.003646222525986985,3.8549759020600252e-15,1.2702250271552915e-12,1.1564359926709214e-13,3.8549438630237034e-15,0,8,true,630.45395355665823,22.0679245,131.41776369999999,false,false,422,0,0,true,632.70967521639648,0.1996703245029039,632.70967521639648,632.51012879792052,6.6346927951599355e-13,1.5671931582804288,6.6346927951599355e-13,true,56,1,false,true,true,1.5671931582804288,0.89073288178360921,
8,true,51111885798.002357,10388.288431026082,0.037896561390880379,0.31625506439893414,9350.4573660716997,0.0019004434401941328,23612023.662484631,4.7990503268750446,0.99950000000000006,0.02171248975416239,0.10000000000000001,0.99950000000000006,0.0015668614678108206,0.0015077019825983215,0.16483365269049299,0.0014821137120148633,672,0.0013538003390233489,2.0176906941673795e-15,5.2281884360176274e-13,9.9458762413640499e-15,2.0176804697211227e-15,0,8,true,0,21.206238899999999,153.12622930000001,false,false,422,0,0,true,0.95158692625104635,0.63965533458906521,0.95158692625104635,0.31625506439893414,3.8066088909466389e-13,4.1446193057206138,3.8066088909466389e-13,true,56,1,false,true,true,4.1446193057206138,0.9099283702028369,
9,true,51095279938.770264,10384.91335588153,1.8948284377984237e-05,0.00015812753219890396,2754.1329314359527,0.00055976661440776398,8719329.6963563543,1.7721692400263782,0.99950000000000006,0.70079576177115011,0.10000000000000001,0.99950000000000006,0.16483365269049299,0.0014821137120148633,0.30913608452121089,0.00065443452606412777,672,0.001332278497026321,3.3256344523888155e-15,3.5366245462981847e-13,4.233568503501227e-13,3.3256346462508083e-15,0,8,true,0,20.875519199999999,174.5098687,false,false,422,0,0,true,0.011353802251633738,0.011197836455803856,0.011353802251633738,0.00015812753219890396,3.7311997541734161e-13,6.8832654974934746,3.7311997541734161e-13,true,56,1,false,true,true,6.8832654974934746,0.99881901748815116,
10,true,50883353517.160583,10341.840149728712,9.4705683295615017e-09,7.9063765312525902e-08,2424.983267014165,0.00049286824825273134,7674825.276419173,1.5598778519787646,0.99950000000000006,0.12988386958434997,0.10000000000000001,0.99950000000000006,0.30913608452121089,0.00065443452606412777,0.46517694121554087,4.536095192753109e-05,672,0.00049391564990927553,1.0096090136889459e-14,2.144489297407423e-13,1.0969882947273232e-12,1.0096089839517745e-14,0,8,true,0,22.069040099999999,197.0980539,false,false,422,0,0,true,0.03256369727641939,0.032563620325565701,0.03256369727641939,7.9063765312525902e-08,3.5493030727634288e-13,10.063328545221486,3.5493030727634288e-13,true,56,1,false,true,true,10.063328545221486,0.99761788538028617,
