check_id,actual_value,operator,threshold,status
WATER_HESSIAN_NNZ,672,==,672,PASS
WATER_HESSIAN_NONZERO_FROBENIUS,0.025922962793631443,>,0,PASS
WATER_HESSIAN_SYMMETRY,0,<=,9.9999999999999998e-13,PASS
UPPER_LOWER_HESSIAN_SIGN,1,==,1,PASS
SAME_DAY_SAME_HYDRO_SUPPORT,1,==,1,PASS
DIRECTION_OVERALL,2.4101740166299404e-13,<=,1e-10,PASS
DIRECTION_XI,1.8145424437254845e-12,<=,1e-10,PASS
DIRECTION_Y,6.2196301394339142e-13,<=,1e-10,PASS
DIRECTION_L,1.9736258969918707e-13,<=,1e-10,PASS
DIRECTION_Z,1.2113901848987228e-12,<=,1e-10,PASS
RECURSIVE_FULL_KKT_RESIDUAL,2.0154864302555593e-14,<=,1e-10,PASS
FULL_KKT_AUDIT_RESIDUAL,1.9398904833620482e-14,<=,1e-10,PASS
FIXED_ZERO_COUNT,422,==,422,PASS
FIXED_ZERO_VALUE_AND_DIRECTION,1,==,1,PASS
NO_FULL_DIRECTION_FALLBACK,1,==,1,PASS
FULL_DIRECTION_NOT_CONSUMED,1,==,1,PASS
