iteration,objective_raw,objective_scaled,objective_scale_factor,QW1,QW2,QW3,QW4,QW5,QP1,QP2,QP3,QP4,QP5,QS1,QS2,ES1,ES2
1,49313516916.009804,10022.77707569568,4920145.04,1660.0188877465016,1029.2762539655089,1271.2655763798373,949.95249999999999,1058.2959505372773,1358.0543161642054,1290.6132844591543,1149.9096061477005,1010.2869138852781,942.15862513590776,232.52297404283445,381.17666903233425,465.0459480856689,762.35333806466849
2,49692786965.714165,10099.862211727434,4920145.04,1678.6938947540227,1029.3991352126707,1279.9956327881898,949.22660033773855,1059.5982568256775,1375.5703040103979,1306.8722789643273,1164.400585890628,1022.9262842449012,953.54659195109355,234.72206974987191,383.07129452179203,469.44413949974381,766.14258904358405
3,50422118484.83429,10248.095955487175,4920145.04,1679.5243595182146,1029.4948026769707,1279.5821104137542,949.43478918820063,1059.5428210734581,1419.9777851520053,1348.2828248238059,1197.8627256143534,1047.5424657798671,976.31857963497407,255.91914019918286,402.34848920463617,511.83828039836573,804.69697840927233
4,50877370081.209793,10340.624040060777,4920145.04,1679.5987562130745,1029.5825616229686,1279.6297019827534,949.5437850690106,1059.6084824332311,1419.4713186455858,1348.5365025396304,1198.3194643004408,1048.1802774619355,977.41965513967568,299.97795957009959,453.26269337481108,599.95591914019917,906.52538674962216
5,51116860604.465202,10389.299540743865,4920145.04,1679.6236445075369,1029.6104748402238,1279.6496149992649,949.57673112822124,1059.6320809251756,1419.4003282602771,1348.6028563651814,1198.4205755505545,1048.3205922000277,977.65253584118238,299.45422203049498,499.97663134668738,598.90844406098995,999.95326269337477
6,51106525886.199188,10387.19905017255,4920145.04,1679.6789259892282,1029.6721628074147,1279.6943120738929,949.64845724593999,1059.68459251166,1419.2512936957796,1348.7348891697129,1198.6234809659932,1048.6092214144651,978.1217321869359,299.70340846639346,496.86627706438054,599.40681693278691,993.73255412876108
7,51121557393.465195,10390.254144513023,4920145.04,1679.6751303105109,1029.6699302118993,1279.6890502710105,949.64733222139637,1059.6808615821626,1419.1792463835056,1348.7016391487987,1198.6009836834496,1048.6081807833016,978.13881956827902,299.55950329951804,499.99843313853216,599.11900659903608,999.99686627706433
8,51111885798.002357,10388.288431026082,4920145.04,1679.6424671818027,1029.6367325271049,1279.6513918196106,949.61075678696568,1059.6443812089938,1418.7920547090357,1348.2357784144381,1198.0929155441502,1048.2201665229054,977.49957383853939,299.52460966041616,499.8351663473095,599.04921932083232,999.67033269461899
9,51095279938.770264,10384.91335588153,4920145.04,1679.5641561768377,1029.5591019176895,1279.5703725038984,949.52526154564794,1059.5633199917725,1418.1885792705302,1347.4287561974845,1197.213236208336,1047.5187086882806,976.32289168027216,299.47009254341475,499.69086391547881,598.9401850868295,999.38172783095763
10,50883353517.160583,10341.840149728712,4920145.04,1679.3414354599322,1029.3301344302088,1279.3266108079031,949.25364516569482,1059.313349246077,1412.5009634510891,1337.725831728002,1184.9601690041181,1040.7686968252608,949.76329456226927,299.34120199475336,499.42832786876306,598.68240398950672,998.85665573752613
