iteration,primal_equality_before,primal_equality_after,primal_inequality_before,primal_inequality_after,primal_inequality_after_before_water_correction,dual_scaled_before,dual_scaled_after,dual_raw_before,dual_raw_after,r_comp_scaled_before,r_comp_scaled_after,mean_lz_scaled_before,mean_lz_scaled_after,mean_lz_raw_before,mean_lz_raw_after,physical_violation_before,physical_violation_after,water_violation_before,water_violation_after
1,3623.4474999999998,2855.6091186734338,29849.839999999975,23527.830034608771,23533.529758012206,48,39.153496673348585,236166961.92000002,192640882.45603254,33648.357072494502,26763.490124008829,278.82927505476465,227.7201686018262,1371880474.667496,1120416258.054239,29848.839999999975,23526.839272677207,29848.839999999975,23526.839272677207
2,2855.6091186734338,2684.2452772791576,23527.830034608771,22115.935350550895,22116.403031478771,39.153496673348585,19.883799439139349,192640882.45603254,97831177.186836243,26763.490124008829,23658.823978369182,227.7201686018262,155.47257110326873,1120416258.054239,764947599.56979501,23526.839272677207,22114.109395689986,23526.839272677207,22114.109395689986
3,2684.2452772791576,1546.6482001226505,22115.935350550895,12761.191905642512,12767.314444860798,19.883799439139349,6.4555269489004417,97831177.186836243,31762128.89821884,23658.823978369182,13619.05551645909,155.47257110326873,80.758559153265026,764947599.56979501,397343824.25548351,22114.109395689986,12759.443863450928,22114.109395689986,12759.443863450928
4,1546.6482001226505,768.67510581329225,12761.191905642512,6364.6639509636243,6368.4283165590095,6.4555269489004417,2.3411401922430723,31762128.89821884,11518749.304809399,13619.05551645909,7127.0106877761436,80.758559153265026,42.844577125043607,397343824.25548351,210801533.63268077,12759.443863450928,6362.8705973049218,12759.443863450928,6362.8705973049218
5,768.67510581329225,559.54877290581317,6364.6639509636243,4633.8761965171261,4635.4751587153678,2.3411401922430723,2.1687331041278806,11518749.304809399,10670481.425358595,7127.0106877761436,5754.7042184437159,42.844577125043607,36.201374967323872,210801533.63268077,178116015.48665872,6362.8705973049218,4632.495542855926,6362.8705973049218,4632.495542855926
6,559.54877290581317,129.88188018789788,4633.8761965171261,1083.892598095126,1087.0408307181829,2.1687331041278806,2.0901115637642564,10670481.425358595,10283652.043501351,5754.7042184437159,3284.8987639151283,36.201374967323872,24.523910944448165,178116015.48665872,120661198.79472835,4632.495542855926,1082.6882453192302,4632.495542855926,1082.6882453192302
7,129.88188018789788,75.793122778529323,1083.892598095126,632.51012879792052,632.70967521639648,2.0901115637642564,0.0022499242951543597,10283652.043501351,11069.95386117922,3284.8987639151283,657.5402622952181,24.523910944448165,5.3992875843870145,120661198.79472835,26565278.027855352,1082.6882453192302,630.45395355665823,1082.6882453192302,630.45395355665823
8,75.793122778529323,0.037896561390880379,632.51012879792052,0.31625506439893414,0.95158692625104635,0.0022499242951543597,0.0019004434401941328,11069.95386117922,9350.4573660716997,657.5402622952181,554.43305861945714,5.3992875843870145,4.7990503268750446,26565278.027855352,23612023.662484631,630.45395355665823,0,630.45395355665823,0
9,0.037896561390880379,1.8948284377984237e-05,0.31625506439893414,0.00015812753219890396,0.011353802251633738,0.0019004434401941328,0.00055976661440776398,9350.4573660716997,2754.1329314359527,554.43305861945714,166.36437588827073,4.7990503268750446,1.7721692400263782,23612023.662484631,8719329.6963563543,0,0,0,0
10,1.8948284377984237e-05,9.4705683295615017e-09,0.00015812753219890396,7.9063765312525902e-08,0.03256369727641939,0.00055976661440776398,0.00049286824825273134,2754.1329314359527,2424.983267014165,166.36437588827073,144.67871924915599,1.7721692400263782,1.5598778519787646,8719329.6963563543,7674825.276419173,0,0,0,0
