iteration,candidate_alpha_primal,applied_alpha_primal,candidate_alpha_dual,applied_alpha_dual,primal_limiter,dual_limiter,primal_limiter_index,dual_limiter_index,min_l_before,min_z_before,min_l_after,min_z_after,common_step_used,dynamic_sigma_used,predictor_corrector_used,line_search_used,regularization_used,automatic_symmetrization_used,parallel_used,full_kkt_direction_fallback_used,water_slack_second_order_correction_used,water_slack_second_order_correction_scope_count,water_correction_fraction,water_correction_fraction_limited,full_water_correction_centrality_safe,full_water_correction_feasible
1,0.21190823968791225,0.21190823968791225,0.18430215263857133,0.18430215263857133,INEQ-Q-UPPER-QW4,INEQ-Q-LOWER-QW4,8,7,0.441,1,0.047499999999985221,0.00049999999999994493,false,false,false,false,false,false,false,false,true,56,0.62518853005005393,true,false,false
2,0.060009558126738305,0.060009558126738305,0.49215776039042636,0.49215776039042636,INEQ-Q-UPPER-QW3,INEQ-Q-LOWER-QP1,6,11,0.047499999999985221,0.00049999999999994493,0.0043672118100808177,0.00018078394353104876,false,false,false,false,false,false,false,false,true,56,1,false,true,true
3,0.42380518903608216,0.42380518903608216,0.67533735347413748,0.67533735347413748,INEQ-Q-UPPER-QP1,INEQ-LOWER-D017-H23-PW01,12,4077,0.0043672118100808177,0.00018078394353104876,0.022214847994796116,3.9505552570609503e-05,false,false,false,false,false,false,false,false,true,56,0.25271285995431486,true,false,false
4,0.50300585113516127,0.50300585113516127,0.63734328571863008,0.63734328571863008,INEQ-Q-UPPER-QS1,INEQ-LOWER-D015-H18-SOC02,22,1851,0.022214847994796116,3.9505552570609503e-05,0.022040429900414438,2.739473179623475e-05,false,false,false,false,false,false,false,false,true,56,0.14372960534441986,true,false,false
5,0.27206075925434353,0.27206075925434353,0.073642359687143041,0.073642359687143041,INEQ-Q-UPPER-ES2,INEQ-Q-UPPER-ES1,28,26,0.022040429900414438,2.739473179623475e-05,0.023368653312608956,0.00059803251745162037,false,false,false,false,false,false,false,false,true,56,0.66999890340998602,true,false,false
6,0.76788103829912546,0.76788103829912546,0.036252289511318703,0.036252289511318703,INEQ-LOWER-D019-H10-SOC02,INEQ-Q-UPPER-ES2,5593,28,0.023368653312608956,0.00059803251745162037,0.031446394017535795,0.00026388557112033695,false,false,false,false,false,false,false,false,true,56,0.27542871201803582,true,false,false
7,0.41644575310365833,0.41644575310365833,0.99950000000000006,0.99950000000000006,INEQ-Q-UPPER-ES2,INEQ-LOWER-D017-H02-PH03,28,3173,0.031446394017535795,0.00026388557112033695,0.0015668614678108206,0.0015077019825983215,false,false,false,false,false,false,false,false,true,56,1,false,true,true
8,0.99950000000000006,0.99950000000000006,0.02171248975416239,0.02171248975416239,INEQ-UPPER-D017-H02-PH03,INEQ-Q-UPPER-QS2,3174,24,0.0015668614678108206,0.0015077019825983215,0.16483365269049299,0.0014821137120148633,false,false,false,false,false,false,false,false,true,56,1,false,true,true
9,0.99950000000000006,0.99950000000000006,0.70079576177115011,0.70079576177115011,INEQ-UPPER-D019-H07-PF01,INEQ-Q-UPPER-ES2,5432,28,0.16483365269049299,0.0014821137120148633,0.30913608452121089,0.00065443452606412777,false,false,false,false,false,false,false,false,true,56,1,false,true,true
10,0.99950000000000006,0.99950000000000006,0.12988386958434997,0.12988386958434997,INEQ-Q-LOWER-QP5,INEQ-Q-UPPER-QP5,19,20,0.30913608452121089,0.00065443452606412777,0.46517694121554087,4.536095192753109e-05,false,false,false,false,false,false,false,false,true,56,1,false,true,true
11,0.12397643665579205,0.12397643665579205,0.25105314103102883,0.25105314103102883,INEQ-Q-LOWER-QP5,INEQ-Q-UPPER-QP3,19,16,0.46517694121554087,4.536095192753109e-05,0.082881647281112691,2.5146490045743763e-05,false,false,false,false,false,false,false,false,true,56,1,false,true,true
12,0.15864931354144685,0.15864931354144685,0.15213251947318787,0.15213251947318787,INEQ-Q-LOWER-QP3,INEQ-Q-UPPER-QP2,15,14,0.082881647281112691,2.5146490045743763e-05,0.10950844622681188,9.1208120839292306e-06,false,false,false,false,false,false,false,false,true,56,1,false,true,true
13,0.16570665215930169,0.16570665215930169,0.29438994405354124,0.29438994405354124,INEQ-Q-LOWER-QP2,INEQ-LOWER-D018-H17-PH02,13,4873,0.10950844622681188,9.1208120839292306e-06,0.11987228235702219,4.3992073072915416e-06,false,false,false,false,false,false,false,false,true,56,1,false,true,true
14,0.11144217916092107,0.11144217916092107,0.038020355743720709,0.038020355743720709,INEQ-Q-LOWER-QP3,INEQ-Q-UPPER-QP1,15,12,0.11987228235702219,4.3992073072915416e-06,0.0013213213290148573,5.4150198197707583e-06,false,false,false,false,false,false,false,false,true,56,1,false,true,true
15,0.25108337531160591,0.25108337531160591,0.14158852706894681,0.14158852706894681,INEQ-Q-LOWER-QP1,INEQ-Q-UPPER-QP4,11,18,0.0013213213290148573,5.4150198197707583e-06,0.11561227489269754,1.2952317029256248e-06,false,false,false,false,false,false,false,false,true,56,0.92144029100773239,true,false,true
16,0.096656950146961268,0.096656950146961268,0.33348075775114144,0.33348075775114144,INEQ-Q-LOWER-QP4,INEQ-Q-UPPER-QS2,17,24,0.11561227489269754,1.2952317029256248e-06,0.03441743086131055,0.00012769661611605754,false,false,false,false,false,false,false,false,true,56,1,false,true,true
17,0.052696979895478939,0.052696979895478939,0.0164900219778495,0.0164900219778495,INEQ-Q-LOWER-QP1,INEQ-Q-UPPER-ES2,11,28,0.03441743086131055,0.00012769661611605754,0.0010887206290814966,3.1040388355565995e-06,false,false,false,false,false,false,false,false,true,56,1,false,true,true
18,0.192113491622906,0.192113491622906,0.015389721302436156,0.015389721302436156,INEQ-Q-LOWER-QP2,INEQ-Q-UPPER-QS2,13,24,0.0010887206290814966,3.1040388355565995e-06,0.00024658943044680859,2.5100095151907743e-07,false,false,false,false,false,false,false,false,true,56,1,false,true,true
19,0.16326613684898231,0.16326613684898231,0.25712268042715136,0.25712268042715136,INEQ-Q-LOWER-QP1,INEQ-Q-UPPER-QW5,11,10,0.00024658943044680859,2.5100095151907743e-07,0.00013864704697685859,3.9833324898551256e-05,false,false,false,false,false,false,false,false,true,56,1,false,true,true
20,0.22962919945175797,0.22962919945175797,0.58942162221577932,0.58942162221577932,INEQ-UPPER-D017-H02-PH03,INEQ-Q-UPPER-QW3,3174,6,0.00013864704697685859,3.9833324898551256e-05,0.0015844017796546872,1.0499693892548206e-05,false,false,false,false,false,false,false,false,true,56,1,false,true,true
21,0.052457843817225895,0.052457843817225895,0.25871479005886322,0.25871479005886322,INEQ-Q-UPPER-QW4,INEQ-Q-UPPER-QS1,8,22,0.0015844017796546872,1.0499693892548206e-05,0.0055368228820835697,6.6889543042826516e-06,false,false,false,false,false,false,false,false,true,56,1,false,true,true
22,0.2031078938666066,0.2031078938666066,0.079102844545406115,0.079102844545406115,INEQ-Q-UPPER-QW5,INEQ-Q-UPPER-QW3,10,6,0.0055368228820835697,6.6889543042826516e-06,0.015121116433172477,5.2700128593940326e-07,false,false,false,false,false,false,false,false,true,56,1,false,true,true
23,0.1812327467121915,0.1812327467121915,0.99950000000000006,0.99950000000000006,INEQ-Q-LOWER-QS2,INEQ-WATER-D018-HYDRO01-LOWER,23,7282,0.015121116433172477,5.2700128593940326e-07,0.0020434347116022877,5.0209886325984238e-06,false,false,false,false,false,false,false,false,true,56,1,false,true,true
24,0.16532116899951801,0.16532116899951801,0.47922158618116589,0.47922158618116589,INEQ-Q-UPPER-QS1,INEQ-Q-UPPER-QW2,22,4,0.0020434347116022877,5.0209886325984238e-06,0.0014605835425527403,1.8922095115945711e-06,false,false,false,false,false,false,false,false,true,56,1,false,true,true
25,0.24224041700912172,0.24224041700912172,0.18860710429456395,0.18860710429456395,INEQ-Q-UPPER-QW3,INEQ-Q-LOWER-QW3,6,5,0.0014605835425527403,1.8922095115945711e-06,0.0087938425834357542,1.088434710511078e-07,false,false,false,false,false,false,false,false,true,56,1,false,true,true
26,0.87268140593547028,0.87268140593547028,0.99950000000000006,0.99950000000000006,INEQ-Q-UPPER-QW5,INEQ-LOWER-D018-H16-Pdis02,10,4845,0.0087938425834357542,1.088434710511078e-07,0.00029772851373577325,2.5755859520350022e-07,false,false,false,false,false,false,false,false,true,56,1,false,true,true
27,0.93954328264554043,0.93954328264554043,0.99950000000000006,0.99950000000000006,INEQ-Q-UPPER-QW3,INEQ-LOWER-D018-H24-Pch01,6,5173,0.00029772851373577325,2.5755859520350022e-07,0.00014806434666691831,2.7965058351472508e-08,false,false,false,false,false,false,false,false,true,56,1,false,true,true
28,0.99950000000000006,0.99950000000000006,0.99950000000000006,0.99950000000000006,INEQ-UPPER-D017-H01-PW01,INEQ-Q-LOWER-QW2,3122,3,0.00014806434666691831,2.7965058351472508e-08,8.7180746472910139e-06,2.8826748390938749e-09,false,false,false,false,false,false,false,false,true,56,1,false,true,true
29,0.99950000000000006,0.99950000000000006,0.99950000000000006,0.99950000000000006,INEQ-Q-UPPER-ES1,INEQ-UPPER-D018-H15-SOC02,26,4802,8.7180746472910139e-06,2.8826748390938749e-09,8.7784898488190117e-07,2.8974001187130766e-10,false,false,false,false,false,false,false,false,true,56,1,false,true,true
30,0.99950000000000006,0.99950000000000006,0.99950000000000006,0.99950000000000006,INEQ-Q-UPPER-QS1,INEQ-UPPER-D018-H17-SOC01,22,4896,8.7784898488190117e-07,2.8974001187130766e-10,8.8207491721602109e-08,2.9104607581911233e-11,false,false,false,false,false,false,false,false,true,56,1,false,true,true
