iteration,state_revision_before,nnz,frobenius_norm,symmetry_relative,upper_z_min,upper_z_max,lower_z_min,lower_z_max,linearization_identity
1,0,0,0,0,1,1,1,1,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=2ddf861c32c4e5be286f60b11c4eb5dc6502bf1e6a3c5a40c8c761dd2a30d4aa|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
2,1,672,0.00133812171975653,0,1.0020245302546837,1.0108734259288485,0.97856810003921213,0.98239985397013707,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=a2a577246413f756e2220d1c53f3669a31933ffb4ed427e8fe9f2aebd3e2afcc|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
3,2,672,0.0035009694537834713,0,0.96979448239689281,0.99951709559826207,0.90951410201527627,0.92501745504679955,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=73676263f2296bc8d1ce023cdb22f8ec65219d9f9095d0cc22c535bd40d8c78d|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
4,3,672,0.0041693791623202137,0,0.88456649691643841,0.93833862764037057,0.81637336151782647,0.84622743586640192,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=43ccb343a71589bdd5729dbeb410c2189ffd7ed9e2d06db87459367297e168f7|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
5,4,672,0.0037820901754028395,0,0.74759943075455115,0.82455422966652547,0.69283977854977086,0.73756962846229768,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=1af77d32b3e8e6ff72c3d7e345090ce68c9ab724f9daca080e02a2cb6bb2654e|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
6,5,672,0.0036943692868643442,0,0.72602510518446983,0.80436055533660999,0.67317019497838759,0.71924304934442296,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=e36aad36859644dc89bbe18e510fda2cb6dd7eb4393ce3cbf46a0de5a72b0f03|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
7,6,672,0.003646222525986985,0,0.71372835501496201,0.79258472573105754,0.66187355577573248,0.70850940225378889,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=0ad9a9610acf01394be45ec20f85f11b6631f9c9aa416e2d647aeeed5f6e7c8f|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
8,7,672,0.0013538003390233489,0,0.15332891817430905,0.20960659172629592,0.1411000935189366,0.17741229737677655,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=d106386692cfba97db40a39a9f8a06dd11cf51cc3ac600b9352657591655b2b4|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
9,8,672,0.001332278497026321,0,0.15047285509189845,0.20587608692619885,0.13845556840773218,0.17418965642338696,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=cdcd201b06fd8447396cdb12c27b1fc4564869f28a0cd2470da996f55f7d22d9|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
10,9,672,0.00049391564990927553,0,0.04572722881598143,0.064365117305165975,0.04159178686556847,0.052432104401552507,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=9e9c49266b93f4de94bc8c3eca20ab245c0051dfa74e2e99b2f718fdb14d19ae|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
11,10,672,0.0004370917822186866,0,0.039836185149124452,0.056241316960070592,0.036200212656874821,0.045642166716150033,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=38e92fd3636df52efbf9565ee95a406f05aae53d64c462a286d1d9789033bff7|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
