run_id,solve_pass,day,hour,asset_type,asset_id,variable_name,physical_array_index,fixed_value,fixed_direction_value,reason,inequality_status
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,1,solar,1,PP,"PP(14,1,1)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,1,solar,2,PP,"PP(14,2,1)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,1,solar,3,PP,"PP(14,3,1)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,1,solar,4,PP,"PP(14,4,1)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,1,solar,5,PP,"PP(14,5,1)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,2,solar,1,PP,"PP(14,1,2)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,2,solar,2,PP,"PP(14,2,2)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,2,solar,3,PP,"PP(14,3,2)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,2,solar,4,PP,"PP(14,4,2)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,2,solar,5,PP,"PP(14,5,2)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,3,solar,1,PP,"PP(14,1,3)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,3,solar,2,PP,"PP(14,2,3)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,3,solar,3,PP,"PP(14,3,3)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,3,solar,4,PP,"PP(14,4,3)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,3,solar,5,PP,"PP(14,5,3)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,4,solar,1,PP,"PP(14,1,4)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,4,solar,2,PP,"PP(14,2,4)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,4,solar,3,PP,"PP(14,3,4)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,4,solar,4,PP,"PP(14,4,4)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,4,solar,5,PP,"PP(14,5,4)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,5,solar,1,PP,"PP(14,1,5)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,5,solar,2,PP,"PP(14,2,5)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,5,solar,3,PP,"PP(14,3,5)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260811_121452_stage_B_2C_4168a6e9,pass_1,14,5,solar,4,PP,"PP(14,4,5)",0,0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
