run_id,day,hour,window_position,storage_id,current_soc_global_index,predecessor_hour,predecessor_soc_global_index,energy_capacity_global_index,boundary_source,initial_energy_fraction,terminal_equality,terminal_energy_fraction
20260811_121452_stage_B_2C_4168a6e9,14,1,1,1,130,NaN,0,27,formal_daily_fixed_half_energy,0.5,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,1,1,2,131,NaN,0,28,formal_daily_fixed_half_energy,0.5,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,2,2,1,149,1,130,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,2,2,2,150,1,131,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,3,3,1,168,2,149,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,3,3,2,169,2,150,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,4,4,1,187,3,168,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,4,4,2,188,3,169,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,5,5,1,206,4,187,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,5,5,2,207,4,188,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,6,6,1,225,5,206,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,6,6,2,226,5,207,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,7,7,1,244,6,225,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,7,7,2,245,6,226,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,8,8,1,268,7,244,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,8,8,2,269,7,245,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,9,9,1,292,8,268,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,9,9,2,293,8,269,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,10,10,1,316,9,292,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,10,10,2,317,9,293,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,11,11,1,340,10,316,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,11,11,2,341,10,317,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,12,12,1,364,11,340,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,12,12,2,365,11,341,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,13,13,1,388,12,364,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,13,13,2,389,12,365,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,14,14,1,412,13,388,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,14,14,2,413,13,389,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,15,15,1,436,14,412,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,15,15,2,437,14,413,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,16,16,1,460,15,436,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,16,16,2,461,15,437,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,17,17,1,484,16,460,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,17,17,2,485,16,461,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,18,18,1,508,17,484,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,18,18,2,509,17,485,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,19,19,1,531,18,508,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,19,19,2,532,18,509,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,20,20,1,550,19,531,27,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,20,20,2,551,19,532,28,previous_physical_hour,NaN,false,NaN
20260811_121452_stage_B_2C_4168a6e9,14,21,21,1,569,20,550,27,previous_physical_hour,NaN,false,NaN
