run_id,stage_id,milestone_id,constraint_type,constraint_id,day,hydro_id,bound_type,row_position,inequality_position,global_row,touched_hour_count,touched_hour_indices,touched_variable_count,touched_variable_indices,touched_variable_names,ordering_rule
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D014-HYDRO01-UPPER,14,1,upper,1,7249,7867,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,118|137|156|175|194|213|232|256|280|304|328|352|376|400|424|448|472|496|519|538|557|576|595|614,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D014-HYDRO01-LOWER,14,1,lower,2,7250,7868,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,118|137|156|175|194|213|232|256|280|304|328|352|376|400|424|448|472|496|519|538|557|576|595|614,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D014-HYDRO02-UPPER,14,2,upper,3,7251,7869,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,119|138|157|176|195|214|233|257|281|305|329|353|377|401|425|449|473|497|520|539|558|577|596|615,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D014-HYDRO02-LOWER,14,2,lower,4,7252,7870,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,119|138|157|176|195|214|233|257|281|305|329|353|377|401|425|449|473|497|520|539|558|577|596|615,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D014-HYDRO03-UPPER,14,3,upper,5,7253,7871,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,120|139|158|177|196|215|234|258|282|306|330|354|378|402|426|450|474|498|521|540|559|578|597|616,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D014-HYDRO03-LOWER,14,3,lower,6,7254,7872,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,120|139|158|177|196|215|234|258|282|306|330|354|378|402|426|450|474|498|521|540|559|578|597|616,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D014-HYDRO04-UPPER,14,4,upper,7,7255,7873,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,121|140|159|178|197|216|235|259|283|307|331|355|379|403|427|451|475|499|522|541|560|579|598|617,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D014-HYDRO04-LOWER,14,4,lower,8,7256,7874,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,121|140|159|178|197|216|235|259|283|307|331|355|379|403|427|451|475|499|522|541|560|579|598|617,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D015-HYDRO01-UPPER,15,1,upper,9,7257,7875,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,633|652|671|690|709|728|747|771|795|819|843|867|891|915|939|963|987|1011|1035|1054|1073|1092|1111|1130,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D015-HYDRO01-LOWER,15,1,lower,10,7258,7876,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,633|652|671|690|709|728|747|771|795|819|843|867|891|915|939|963|987|1011|1035|1054|1073|1092|1111|1130,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D015-HYDRO02-UPPER,15,2,upper,11,7259,7877,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,634|653|672|691|710|729|748|772|796|820|844|868|892|916|940|964|988|1012|1036|1055|1074|1093|1112|1131,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D015-HYDRO02-LOWER,15,2,lower,12,7260,7878,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,634|653|672|691|710|729|748|772|796|820|844|868|892|916|940|964|988|1012|1036|1055|1074|1093|1112|1131,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D015-HYDRO03-UPPER,15,3,upper,13,7261,7879,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,635|654|673|692|711|730|749|773|797|821|845|869|893|917|941|965|989|1013|1037|1056|1075|1094|1113|1132,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D015-HYDRO03-LOWER,15,3,lower,14,7262,7880,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,635|654|673|692|711|730|749|773|797|821|845|869|893|917|941|965|989|1013|1037|1056|1075|1094|1113|1132,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D015-HYDRO04-UPPER,15,4,upper,15,7263,7881,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,636|655|674|693|712|731|750|774|798|822|846|870|894|918|942|966|990|1014|1038|1057|1076|1095|1114|1133,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D015-HYDRO04-LOWER,15,4,lower,16,7264,7882,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,636|655|674|693|712|731|750|774|798|822|846|870|894|918|942|966|990|1014|1038|1057|1076|1095|1114|1133,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D016-HYDRO01-UPPER,16,1,upper,17,7265,7883,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,1149|1168|1187|1206|1224|1243|1262|1286|1310|1334|1358|1382|1406|1430|1454|1478|1502|1526|1550|1569|1588|1607|1626|1645,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D016-HYDRO01-LOWER,16,1,lower,18,7266,7884,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,1149|1168|1187|1206|1224|1243|1262|1286|1310|1334|1358|1382|1406|1430|1454|1478|1502|1526|1550|1569|1588|1607|1626|1645,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D016-HYDRO02-UPPER,16,2,upper,19,7267,7885,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,1150|1169|1188|1207|1225|1244|1263|1287|1311|1335|1359|1383|1407|1431|1455|1479|1503|1527|1551|1570|1589|1608|1627|1646,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D016-HYDRO02-LOWER,16,2,lower,20,7268,7886,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,1150|1169|1188|1207|1225|1244|1263|1287|1311|1335|1359|1383|1407|1431|1455|1479|1503|1527|1551|1570|1589|1608|1627|1646,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D016-HYDRO03-UPPER,16,3,upper,21,7269,7887,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,1151|1170|1189|1208|1226|1245|1264|1288|1312|1336|1360|1384|1408|1432|1456|1480|1504|1528|1552|1571|1590|1609|1628|1647,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D016-HYDRO03-LOWER,16,3,lower,22,7270,7888,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,1151|1170|1189|1208|1226|1245|1264|1288|1312|1336|1360|1384|1408|1432|1456|1480|1504|1528|1552|1571|1590|1609|1628|1647,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D016-HYDRO04-UPPER,16,4,upper,23,7271,7889,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,1152|1171|1190|1209|1227|1246|1265|1289|1313|1337|1361|1385|1409|1433|1457|1481|1505|1529|1553|1572|1591|1610|1629|1648,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D016-HYDRO04-LOWER,16,4,lower,24,7272,7890,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,1152|1171|1190|1209|1227|1246|1265|1289|1313|1337|1361|1385|1409|1433|1457|1481|1505|1529|1553|1572|1591|1610|1629|1648,PH,day_hydro_upper_then_lower
20260811_121452_stage_B_2C_4168a6e9,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D017-HYDRO01-UPPER,17,1,upper,25,7273,7891,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,1664|1683|1702|1721|1740|1759|1778|1802|1826|1850|1874|1898|1922|1946|1970|1994|2018|2042|2066|2085|2104|2123|2142|2161,PH,day_hydro_upper_then_lower
