iteration,relative_path,sha256,state_fingerprint,linearization_fingerprint,previous_checkpoint_sha256,git_commit,config_sha256,input_hash_fingerprint,recorded_at_utc
0,iteration_000.mat,25d3ce96cb62336f3adf0940a81bf8eabb7951f75b111d3e02e82ddeba09874f,07faf78105e0c21316f981799aa97a91c165366b9a9204a9ff1cab60a2e06e9c,aed9ddbc02923a3de3f7f18d956832d215fc5333b57d3c28b934485a6b088d89,GENESIS,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,b68549697dbb093d1169c3052075f48a69745d8e121e3388a09ac94591eb54bc,ce8292e84f2ce175f67df4090a38ce016d8259134268b5397710e7b9088a681d,2026-08-11T15:50:25.491Z
1,iteration_001.mat,a3d74db56a5249cd3c453c603712a20c65daad00240d0c63543d6e570562f3e4,f5ae3724047aaa63b1ba2f008a0f47a988b5adf3879e3fa34ecabe9fce03505a,1c998811c0a1fa2fd30761b0d6168812d2ed4cf6caf12933f37031261981a6ff,25d3ce96cb62336f3adf0940a81bf8eabb7951f75b111d3e02e82ddeba09874f,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,b68549697dbb093d1169c3052075f48a69745d8e121e3388a09ac94591eb54bc,ce8292e84f2ce175f67df4090a38ce016d8259134268b5397710e7b9088a681d,2026-08-11T15:50:43.596Z
2,iteration_002.mat,4683a69522c7f9969ee24695317b8252a1481a2485f8d9d2032e0cb85311272a,b05cc7009d68c01127be5b73130b7fb48b92484dd9773062c5bfe3e5f23d1578,66a0ff2eb55506afab74dd10a617e07418b01b582614d4b7065f8a3e0dfd1882,a3d74db56a5249cd3c453c603712a20c65daad00240d0c63543d6e570562f3e4,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,b68549697dbb093d1169c3052075f48a69745d8e121e3388a09ac94591eb54bc,ce8292e84f2ce175f67df4090a38ce016d8259134268b5397710e7b9088a681d,2026-08-11T15:51:00.219Z
3,iteration_003.mat,5d6c66e608cd4a3b1b10e63b9c1e594f5d9edceb560f50d2ee92711e75383b48,6cb2f558bf7f5c6bfe77eafde56b41b8319d82b9d2cac9517b6a29628e8439d5,8ad487f35a46ceef10e74d767832d8c8d9b53e1a82dfcd603c2b6ab9296d34bb,4683a69522c7f9969ee24695317b8252a1481a2485f8d9d2032e0cb85311272a,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,b68549697dbb093d1169c3052075f48a69745d8e121e3388a09ac94591eb54bc,ce8292e84f2ce175f67df4090a38ce016d8259134268b5397710e7b9088a681d,2026-08-11T15:51:15.597Z
4,iteration_004.mat,9cdec8625026677027c2b99ae61c3cacf95f7619f9d3ab9b2dbc5710e33111e9,6c4b4734e77af0f995d22f9e2cd5b74bbe4e43dd1f0299f11a9a958ee5de6606,6d0bb3cbfd62ba08395688f13ef301bb927c08a7376df4cd05f774acddded937,5d6c66e608cd4a3b1b10e63b9c1e594f5d9edceb560f50d2ee92711e75383b48,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,b68549697dbb093d1169c3052075f48a69745d8e121e3388a09ac94591eb54bc,ce8292e84f2ce175f67df4090a38ce016d8259134268b5397710e7b9088a681d,2026-08-11T15:51:30.964Z
5,iteration_005.mat,67f02b5cf34a0be7df39ca4acc73390f635b8067938cf536281d50d44e2813fe,b4f1044d2f202689eca019346439d86998604a1c302c1eb67392287c12c9620c,60c6b5931100873c662aa489cfc0926e746126f54c9487175e869c35558b23ed,9cdec8625026677027c2b99ae61c3cacf95f7619f9d3ab9b2dbc5710e33111e9,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,b68549697dbb093d1169c3052075f48a69745d8e121e3388a09ac94591eb54bc,ce8292e84f2ce175f67df4090a38ce016d8259134268b5397710e7b9088a681d,2026-08-11T15:51:46.593Z
6,iteration_006.mat,8c1d7d78a66af429cf0f4ad3951867625c9fd3381c310a2451a08d27136fca8f,5197463e8e310a5f3854d633347b57b9a269df2f3f865c2214620fa44e1987b8,ed46e785cba931acc1983139a7a876fe618ba3b6818b1532452597874c6cd7e9,67f02b5cf34a0be7df39ca4acc73390f635b8067938cf536281d50d44e2813fe,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,b68549697dbb093d1169c3052075f48a69745d8e121e3388a09ac94591eb54bc,ce8292e84f2ce175f67df4090a38ce016d8259134268b5397710e7b9088a681d,2026-08-11T15:52:02.177Z
7,iteration_007.mat,41f0cc28bae951ef86fc94ed8b427ed237ef143a0d21ed2a9b365df3a2cf0221,4d6727625ee12ec944bda71cde28da381ef06ed044a760f062414555031aadd6,40f392c8705cbc33dc81fd189f74431ab82571abd7a5fbb48d8caff12b65b4be,8c1d7d78a66af429cf0f4ad3951867625c9fd3381c310a2451a08d27136fca8f,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,b68549697dbb093d1169c3052075f48a69745d8e121e3388a09ac94591eb54bc,ce8292e84f2ce175f67df4090a38ce016d8259134268b5397710e7b9088a681d,2026-08-11T15:52:19.846Z
8,iteration_008.mat,aa84f5fc5834ef3c0926ccb21f3765cbf8c75c1cde59db7b00345cfffb19c60d,30a58c0ebf269cc86bbcbb3dd50fabe4ae2acac46b5202609632165003fda3fc,467573245123499b9abaa65a9510e8265e2566fcedbf0410d5eb7aef0282c777,41f0cc28bae951ef86fc94ed8b427ed237ef143a0d21ed2a9b365df3a2cf0221,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,b68549697dbb093d1169c3052075f48a69745d8e121e3388a09ac94591eb54bc,ce8292e84f2ce175f67df4090a38ce016d8259134268b5397710e7b9088a681d,2026-08-11T15:52:36.399Z
9,iteration_009.mat,e6d4ae31afa6a325b78eae95db31dfba98916d6bddf05c378676a67e719d4ed2,1d71687c75b7700ba51a3ec28aa0dfc9b8eea1d143477651503658fc8830e981,aafcb89d45ed9029fa99708d75196b0282a835f2eddb1b3cb006ccbb9bc050a4,aa84f5fc5834ef3c0926ccb21f3765cbf8c75c1cde59db7b00345cfffb19c60d,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,b68549697dbb093d1169c3052075f48a69745d8e121e3388a09ac94591eb54bc,ce8292e84f2ce175f67df4090a38ce016d8259134268b5397710e7b9088a681d,2026-08-11T15:52:52.446Z
