iteration,day_id,object_type,dimension,rhs_count,factorization_count,minimum_absolute_pivot,pivot_tolerance,numerical_zero_pivot_count,maximum_rhs_relative_residual,initial_maximum_rhs_relative_residual,refinement_enabled,refinement_triggered,refinement_maximum_passes,refinement_passes_applied,refinement_additional_factorization_count,warning_present,warning_continued,blocking_warning_present,solution_finite
1,1,daily_joint,618,15,1,5.2024000076047406e-05,1.0977885267493548e-12,0,3.0826125990445559e-14,3.0826125990445559e-14,true,false,3,0,0,false,false,false,true
1,2,daily_joint,618,15,1,5.2134455874464134e-05,1.0977885267493548e-12,0,3.3012665884986184e-14,3.3012665884986184e-14,true,false,3,0,0,false,false,false,true
1,3,daily_joint,618,15,1,5.1898641329189431e-05,1.0977885267493548e-12,0,2.2805483963080705e-14,2.2805483963080705e-14,true,false,3,0,0,false,false,false,true
1,4,daily_joint,618,15,1,5.2072954351539031e-05,1.0977885267493548e-12,0,4.0260005451110913e-14,4.0260005451110913e-14,true,false,3,0,0,false,false,false,true
1,5,daily_joint,618,15,1,5.2055553073070966e-05,1.0977885267493548e-12,0,2.362112932190005e-14,2.362112932190005e-14,true,false,3,0,0,false,false,false,true
1,6,daily_joint,618,15,1,5.2263519900439287e-05,1.0977885267493548e-12,0,1.301624352331164e-14,1.301624352331164e-14,true,false,3,0,0,false,false,false,true
1,7,daily_joint,618,15,1,5.1584533076439727e-05,1.0977885267493548e-12,0,3.9526618472103633e-15,3.9526618472103633e-15,true,false,3,0,0,false,false,false,true
1,8,daily_joint,618,15,1,5.217004962949196e-05,1.0977885267493548e-12,0,1.3691843500813062e-14,1.3691843500813062e-14,true,false,3,0,0,false,false,false,true
1,9,daily_joint,618,15,1,5.2305288870237235e-05,1.0977885267493548e-12,0,1.1352933595807817e-14,1.1352933595807817e-14,true,false,3,0,0,false,false,false,true
1,10,daily_joint,618,15,1,5.1983036087505726e-05,1.0977885267493548e-12,0,1.2835266337291486e-14,1.2835266337291486e-14,true,false,3,0,0,false,false,false,true
1,11,daily_joint,618,15,1,5.1448644083907125e-05,1.0977885267493548e-12,0,1.3568973193507919e-14,1.3568973193507919e-14,true,false,3,0,0,false,false,false,true
1,12,daily_joint,618,15,1,5.1781925664806068e-05,1.0977885267493548e-12,0,3.1097852253350963e-14,3.1097852253350963e-14,true,false,3,0,0,false,false,false,true
1,13,daily_joint,618,15,1,5.2214339917587918e-05,1.0977885267493548e-12,0,2.9125835780348121e-14,2.9125835780348121e-14,true,false,3,0,0,false,false,false,true
1,14,daily_joint,617,15,1,5.2313225937923473e-05,1.0960121699099545e-12,0,2.4976595883395297e-14,2.4976595883395297e-14,true,false,3,0,0,false,false,false,true
1,15,daily_joint,618,15,1,5.2274330048252489e-05,1.0977885267493548e-12,0,3.0352395389141723e-14,3.0352395389141723e-14,true,false,3,0,0,false,false,false,true
1,16,daily_joint,617,15,1,5.3255137926913378e-05,5.4800608495497727e-13,0,1.6572645882462978e-14,1.6572645882462978e-14,true,false,3,0,0,false,false,false,true
1,17,daily_joint,618,15,1,5.174324107174416e-05,1.0977885267493548e-12,0,3.2053341491780022e-15,3.2053341491780022e-15,true,false,3,0,0,false,false,false,true
1,18,daily_joint,618,15,1,5.1936228461503851e-05,1.0977885267493548e-12,0,3.0972356572156534e-14,3.0972356572156534e-14,true,false,3,0,0,false,false,false,true
