run_id,metric,actual_value
20260811_155000_stage_B_2C_30day_full_final,days,30
20260811_155000_stage_B_2C_30day_full_final,hours_per_day,24
20260811_155000_stage_B_2C_30day_full_final,primal_variables,15910
20260811_155000_stage_B_2C_30day_full_final,equalities,2642
20260811_155000_stage_B_2C_30day_full_final,base_inequalities,30980
20260811_155000_stage_B_2C_30day_full_final,water_inequalities,240
20260811_155000_stage_B_2C_30day_full_final,total_inequalities,31220
20260811_155000_stage_B_2C_30day_full_final,reconstructed_full_kkt_dimension,80992
20260811_155000_stage_B_2C_30day_full_final,daily_joint_block_count,30
20260811_155000_stage_B_2C_30day_full_final,global_core_dimension,16
20260811_155000_stage_B_2C_30day_full_final,fixed_zero_count,1804
20260811_155000_stage_B_2C_30day_full_final,index_build_seconds,22.5330829
20260811_155000_stage_B_2C_30day_full_final,preparation_seconds,48.737884600000001
