day,hydro_id,Wmin,W,Wmax,lower_margin,upper_margin,lower_violation,upper_violation,maximum_violation,status,physical_source,independent_daily_scope
1,1,34292.82,38088.06784626795,38103.129999999997,3795.2478462679501,15.062153732047591,0,0,0,PASS,final_unscaled_PH,true
1,2,35013.089999999997,38888.867838038554,38903.43,3875.7778380385571,14.562161961446691,0,0,0,PASS,final_unscaled_PH,true
1,3,18537.080000000002,20578.54902045432,20596.759999999998,2041.4690204543185,18.210979545678128,0,0,0,PASS,final_unscaled_PH,true
1,4,18099.959999999999,20093.112369404502,20111.07,1993.1523694045027,17.957630595497903,0,0,0,PASS,final_unscaled_PH,true
2,1,34358.050000000003,38148.736654275926,38175.610000000001,3790.6866542759235,26.87334572407417,0,0,0,PASS,final_unscaled_PH,true
2,2,35096,38968.511439355651,38995.550000000003,3872.5114393556505,27.038560644352401,0,0,0,PASS,final_unscaled_PH,true
2,3,18350.150000000001,20360.290295483399,20389.060000000001,2010.1402954833975,28.76970451660236,0,0,0,PASS,final_unscaled_PH,true
2,4,18413.009999999998,20430.044956905309,20458.900000000001,2017.0349569053105,28.855043094692519,0,0,0,PASS,final_unscaled_PH,true
3,1,34788.300000000003,38621.056200733263,38653.669999999998,3832.7562007332599,32.613799266735441,0,0,0,PASS,final_unscaled_PH,true
3,2,34556.580000000002,38363.699848925644,38396.199999999997,3807.1198489256421,32.500151074353198,0,0,0,PASS,final_unscaled_PH,true
3,3,18558.639999999999,20588.616589650064,20620.709999999999,2029.9765896500649,32.093410349934857,0,0,0,PASS,final_unscaled_PH,true
3,4,18046.400000000001,20020.093098732792,20051.549999999999,1973.6930987327905,31.456901267207286,0,0,0,PASS,final_unscaled_PH,true
4,1,35079.239999999998,38955.677754485856,38976.93,3876.437754485858,21.252245514144306,0,0,0,PASS,final_unscaled_PH,true
4,2,34469.559999999998,38278.356283254841,38299.510000000002,3808.7962832548437,21.153716745160636,0,0,0,PASS,final_unscaled_PH,true
4,3,18698.169999999998,20752.002694436913,20775.740000000002,2053.8326944369146,23.737305563088739,0,0,0,PASS,final_unscaled_PH,true
4,4,18609.040000000001,20653.030314705455,20676.709999999999,2043.9903147054538,23.67968529454447,0,0,0,PASS,final_unscaled_PH,true
5,1,34452.400000000001,38223.97595571819,38280.440000000002,3771.5759557181882,56.464044281812676,0,0,0,PASS,final_unscaled_PH,true
5,2,34432.019999999997,38201.366187875901,38257.800000000003,3769.3461878759044,56.433812124101678,0,0,0,PASS,final_unscaled_PH,true
5,3,18600.150000000001,20613.90907850007,20666.830000000002,2013.7590785000684,52.920921499931865,0,0,0,PASS,final_unscaled_PH,true
