iteration,objective_raw,objective_scaled,primal_equality_inf,primal_inequality_inf,dual_scaled_inf,mean_lz_scaled,alpha_primal,alpha_dual,minimum_l,minimum_z,recursive_final_kkt_relative_residual,daily_local_response_maximum_relative_residual,daily_numerical_zero_pivot_day_count,daily_numerical_zero_pivot_day_ids,factorization_count,full_kkt_audit_executed,maximum_water_violation,water_correction_fraction,water_correction_fraction_limited,minimum_corrected_water_slack,fixed_zero_count,fixed_zero_maximum_absolute_value,fixed_zero_maximum_absolute_direction,fixed_zero_exact,iteration_time_seconds,cumulative_time_seconds,converged
1,49709841367.07325,10103.328451283471,3560.9023175762359,24425.399643854649,39.985378335757247,241.72583264381896,0.18891899534435913,0.16697128467172448,0.047499999999999432,0.00049999999999994493,1.384368836855483e-14,4.0260005451110913e-14,0,,31,false,24423.497231704125,0.69864428838772674,true,0.63037077195546942,1804,0,0,true,17.4955991,17.5210796,false
2,49881112876.446777,10138.138707481432,3512.0241090631052,24090.127942938838,22.551660040377765,171.88527123666077,0.013726354770214274,0.43600233437804559,0.00084546207238545001,0.00010197902757408395,9.9862198016258479e-15,3.8113369714647087e-14,0,,31,false,24087.940754320516,1,false,0.92725998203366722,1804,0,0,true,16.022748499999999,34.106632099999999,false
3,50220682680.507919,10207.154925763716,2934.1413403989563,20126.940880066533,9.3884065728992443,116.40446601470808,0.16454407792158054,0.58369332651832684,0.0047418641406533624,4.5621593394273852e-05,8.2652729307404688e-15,3.899018197762991e-14,0,,31,false,20124.732269044944,0.78367161834327059,true,0.37046275194026324,1804,0,0,true,14.8146263,49.509716900000001,false
4,50859297122.445038,10336.950782744616,1047.0481722444947,7232.6979166137962,3.860525827998075,52.816026122460528,0.64315005626070965,0.58879861049670124,0.029322130966960458,3.7968351329409344e-05,1.0981056685120223e-14,1.0388732777312177e-13,0,,31,false,7231.3540719081648,0.1004607472143961,true,0.88438427175140433,1804,0,0,true,14.640800799999999,64.708031899999995,false
5,51130211415.527573,10392.013040235004,690.79186586873129,4774.0766406794919,1.5217263577475773,31.896794582037483,0.34024824818907773,0.60582407020530482,0.02624679164690491,1.7121229495084545e-05,7.1045322001809315e-15,7.7148147749147833e-14,0,,31,false,4772.8607745875561,0.46128175620723422,true,0.28704906463309721,1804,0,0,true,14.784118700000001,80.232983200000007,false
6,51133259387.568085,10392.63252848499,180.80008887171971,1265.2337873556726,0.31222067742690129,13.091787187602295,0.73827125389736425,0.79482468984171228,0.025814176128626798,3.1300228516509265e-05,6.798768972455063e-15,2.3193710376669673e-13,0,,31,false,1264.7326757758783,0.18131693958397507,true,0.44977095562137759,1804,0,0,true,14.659115,95.722081900000006,false
7,51136702649.0364,10393.332357746185,68.301951480236312,477.97507896379545,0.0019506586770929868,3.2681743040718585,0.62222390538371641,0.99950000000000006,0.0083083918672492985,0.0002511284193546931,3.2772868167876198e-15,1.8271539522384271e-13,0,,31,false,476.98829836802906,1,false,0.90978197125651583,1804,0,0,true,16.477357000000001,113.1308813,false
8,51137937221.479668,10393.583279707475,0.034150975740885769,0.23898753948189411,0.00041546406786518997,0.55294066527070951,0.99950000000000006,0.99950000000000006,0.051668127368814536,0.00019750218528028559,2.978489161383545e-15,2.0557486452074196e-14,0,,31,false,0,1,false,3.2236065120541011,1804,0,0,true,15.4019225,129.7172362,false
9,51128935280.423889,10391.753670827535,1.7075489267881494e-05,0.00011949376974129677,0.00018908949556515481,0.28223133919753557,0.99950000000000006,0.54392846982018461,0.064080624423606958,0.00010849708362184395,4.9970678890045467e-14,3.7317178210631689e-12,0,,31,false,0,1,false,6.815790391189946,1804,0,0,true,14.794244900000001,145.66057369999999,false
10,50425054801.911713,10248.69275030797,1.3521901564672589e-05,9.4625869199838064e-05,0.00015339943126984473,0.27731813861769378,0.2081104361828692,0.001427332513356212,0.066748211854916764,1.7642733581317224e-07,8.888920153970382e-14,5.3056781214860998e-12,0,,31,false,0,1,false,7.5906309184533471,1804,0,0,true,14.7797129,161.69823880000001,false
