run_id,day,hydro_id,water_a,water_b,water_c,water_min_m3,water_max_m3,max_output_mw,all_finite,min_not_above_max,nonnegative_bounds,status
20260811_155000_stage_B_2C_30day_full_final,1,1,0.001,16.41,352.86000000000001,34292.82,38103.129999999997,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,1,2,0.001,16.420000000000002,352.94999999999999,35013.089999999997,38903.43,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,1,3,0.001,16.510000000000002,355.26999999999998,18537.080000000002,20596.759999999998,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,1,4,0.001,16.539999999999999,355.56999999999999,18099.959999999999,20111.07,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,2,1,0.001,16.41,352.86000000000001,34358.050000000003,38175.610000000001,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,2,2,0.001,16.420000000000002,352.94999999999999,35096,38995.550000000003,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,2,3,0.001,16.510000000000002,355.26999999999998,18350.150000000001,20389.060000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,2,4,0.001,16.539999999999999,355.56999999999999,18413.009999999998,20458.900000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,3,1,0.001,16.41,352.86000000000001,34788.300000000003,38653.669999999998,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,3,2,0.001,16.420000000000002,352.94999999999999,34556.580000000002,38396.199999999997,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,3,3,0.001,16.510000000000002,355.26999999999998,18558.639999999999,20620.709999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,3,4,0.001,16.539999999999999,355.56999999999999,18046.400000000001,20051.549999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,4,1,0.001,16.41,352.86000000000001,35079.239999999998,38976.93,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,4,2,0.001,16.420000000000002,352.94999999999999,34469.559999999998,38299.510000000002,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,4,3,0.001,16.510000000000002,355.26999999999998,18698.169999999998,20775.740000000002,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,4,4,0.001,16.539999999999999,355.56999999999999,18609.040000000001,20676.709999999999,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,5,1,0.001,16.41,352.86000000000001,34452.400000000001,38280.440000000002,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,5,2,0.001,16.420000000000002,352.94999999999999,34432.019999999997,38257.800000000003,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,5,3,0.001,16.510000000000002,355.26999999999998,18600.150000000001,20666.830000000002,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,5,4,0.001,16.539999999999999,355.56999999999999,18654.049999999999,20726.720000000001,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,6,1,0.001,16.41,352.86000000000001,35020.419999999998,38911.580000000002,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,6,2,0.001,16.420000000000002,352.94999999999999,34750.550000000003,38611.720000000001,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,6,3,0.001,16.510000000000002,355.26999999999998,18669.759999999998,20744.18,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,6,4,0.001,16.539999999999999,355.56999999999999,18789.32,20877.02,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,7,1,0.001,16.41,352.86000000000001,34239.849999999999,38044.279999999999,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,7,2,0.001,16.420000000000002,352.94999999999999,34773.230000000003,38636.919999999998,300,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,7,3,0.001,16.510000000000002,355.26999999999998,18581.77,20646.41,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,7,4,0.001,16.539999999999999,355.56999999999999,18561.459999999999,20623.84,150,true,true,true,PASS
20260811_155000_stage_B_2C_30day_full_final,8,1,0.001,16.41,352.86000000000001,34220.120000000003,38022.349999999999,300,true,true,true,PASS
