run_id,day,hour,window_position,storage_id,current_soc_global_index,predecessor_hour,predecessor_soc_global_index,energy_capacity_global_index,boundary_source,initial_energy_fraction,terminal_equality,terminal_energy_fraction
20260811_155000_stage_B_2C_30day_full_final,1,1,1,1,452,NaN,0,27,formal_daily_fixed_half_energy,0.5,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,1,1,2,453,NaN,0,28,formal_daily_fixed_half_energy,0.5,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,2,2,1,471,1,452,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,2,2,2,472,1,453,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,3,3,1,490,2,471,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,3,3,2,491,2,472,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,4,4,1,509,3,490,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,4,4,2,510,3,491,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,5,5,1,528,4,509,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,5,5,2,529,4,510,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,6,6,1,547,5,528,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,6,6,2,548,5,529,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,7,7,1,566,6,547,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,7,7,2,567,6,548,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,8,8,1,590,7,566,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,8,8,2,591,7,567,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,9,9,1,614,8,590,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,9,9,2,615,8,591,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,10,10,1,638,9,614,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,10,10,2,639,9,615,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,11,11,1,662,10,638,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,11,11,2,663,10,639,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,12,12,1,686,11,662,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,12,12,2,687,11,663,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,13,13,1,710,12,686,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,13,13,2,711,12,687,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,14,14,1,734,13,710,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,14,14,2,735,13,711,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,15,15,1,758,14,734,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,15,15,2,759,14,735,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,16,16,1,782,15,758,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,16,16,2,783,15,759,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,17,17,1,806,16,782,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,17,17,2,807,16,783,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,18,18,1,830,17,806,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,18,18,2,831,17,807,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,19,19,1,854,18,830,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,19,19,2,855,18,831,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,20,20,1,873,19,854,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,20,20,2,874,19,855,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,21,21,1,892,20,873,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,21,21,2,893,20,874,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,22,22,1,911,21,892,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,22,22,2,912,21,893,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,23,23,1,930,22,911,27,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,23,23,2,931,22,912,28,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,1,24,24,1,949,23,930,27,previous_physical_hour,NaN,true,0.5
20260811_155000_stage_B_2C_30day_full_final,1,24,24,2,950,23,931,28,previous_physical_hour,NaN,true,0.5
20260811_155000_stage_B_2C_30day_full_final,2,1,1,1,968,NaN,0,41,formal_daily_fixed_half_energy,0.5,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,1,1,2,969,NaN,0,42,formal_daily_fixed_half_energy,0.5,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,2,2,1,987,1,968,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,2,2,2,988,1,969,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,3,3,1,1006,2,987,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,3,3,2,1007,2,988,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,4,4,1,1025,3,1006,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,4,4,2,1026,3,1007,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,5,5,1,1044,4,1025,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,5,5,2,1045,4,1026,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,6,6,1,1063,5,1044,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,6,6,2,1064,5,1045,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,7,7,1,1082,6,1063,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,7,7,2,1083,6,1064,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,8,8,1,1106,7,1082,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,8,8,2,1107,7,1083,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,9,9,1,1130,8,1106,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,9,9,2,1131,8,1107,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,10,10,1,1154,9,1130,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,10,10,2,1155,9,1131,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,11,11,1,1178,10,1154,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,11,11,2,1179,10,1155,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,12,12,1,1202,11,1178,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,12,12,2,1203,11,1179,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,13,13,1,1226,12,1202,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,13,13,2,1227,12,1203,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,14,14,1,1250,13,1226,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,14,14,2,1251,13,1227,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,15,15,1,1274,14,1250,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,15,15,2,1275,14,1251,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,16,16,1,1298,15,1274,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,16,16,2,1299,15,1275,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,17,17,1,1322,16,1298,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,17,17,2,1323,16,1299,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,18,18,1,1346,17,1322,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,18,18,2,1347,17,1323,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,19,19,1,1370,18,1346,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,19,19,2,1371,18,1347,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,20,20,1,1389,19,1370,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,20,20,2,1390,19,1371,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,21,21,1,1408,20,1389,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,21,21,2,1409,20,1390,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,22,22,1,1427,21,1408,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,22,22,2,1428,21,1409,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,23,23,1,1446,22,1427,41,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,23,23,2,1447,22,1428,42,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,2,24,24,1,1465,23,1446,41,previous_physical_hour,NaN,true,0.5
20260811_155000_stage_B_2C_30day_full_final,2,24,24,2,1466,23,1447,42,previous_physical_hour,NaN,true,0.5
20260811_155000_stage_B_2C_30day_full_final,3,1,1,1,1484,NaN,0,55,formal_daily_fixed_half_energy,0.5,false,NaN
20260811_155000_stage_B_2C_30day_full_final,3,1,1,2,1485,NaN,0,56,formal_daily_fixed_half_energy,0.5,false,NaN
20260811_155000_stage_B_2C_30day_full_final,3,2,2,1,1503,1,1484,55,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,3,2,2,2,1504,1,1485,56,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,3,3,3,1,1522,2,1503,55,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,3,3,3,2,1523,2,1504,56,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,3,4,4,1,1541,3,1522,55,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,3,4,4,2,1542,3,1523,56,previous_physical_hour,NaN,false,NaN
20260811_155000_stage_B_2C_30day_full_final,3,5,5,1,1560,4,1541,55,previous_physical_hour,NaN,false,NaN
