run_id,stage_id,milestone_id,constraint_type,constraint_id,day,hydro_id,bound_type,row_position,inequality_position,global_row,touched_hour_count,touched_hour_indices,touched_variable_count,touched_variable_indices,touched_variable_names,ordering_rule
20260811_155000_stage_B_2C_30day_full_final,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D001-HYDRO01-UPPER,1,1,upper,1,30981,33623,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,440|459|478|497|516|535|554|578|602|626|650|674|698|722|746|770|794|818|842|861|880|899|918|937,PH,day_hydro_upper_then_lower
20260811_155000_stage_B_2C_30day_full_final,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D001-HYDRO01-LOWER,1,1,lower,2,30982,33624,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,440|459|478|497|516|535|554|578|602|626|650|674|698|722|746|770|794|818|842|861|880|899|918|937,PH,day_hydro_upper_then_lower
20260811_155000_stage_B_2C_30day_full_final,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D001-HYDRO02-UPPER,1,2,upper,3,30983,33625,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,441|460|479|498|517|536|555|579|603|627|651|675|699|723|747|771|795|819|843|862|881|900|919|938,PH,day_hydro_upper_then_lower
20260811_155000_stage_B_2C_30day_full_final,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D001-HYDRO02-LOWER,1,2,lower,4,30984,33626,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,441|460|479|498|517|536|555|579|603|627|651|675|699|723|747|771|795|819|843|862|881|900|919|938,PH,day_hydro_upper_then_lower
20260811_155000_stage_B_2C_30day_full_final,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D001-HYDRO03-UPPER,1,3,upper,5,30985,33627,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,442|461|480|499|518|537|556|580|604|628|652|676|700|724|748|772|796|820|844|863|882|901|920|939,PH,day_hydro_upper_then_lower
20260811_155000_stage_B_2C_30day_full_final,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D001-HYDRO03-LOWER,1,3,lower,6,30986,33628,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,442|461|480|499|518|537|556|580|604|628|652|676|700|724|748|772|796|820|844|863|882|901|920|939,PH,day_hydro_upper_then_lower
20260811_155000_stage_B_2C_30day_full_final,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D001-HYDRO04-UPPER,1,4,upper,7,30987,33629,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,443|462|481|500|519|538|557|581|605|629|653|677|701|725|749|773|797|821|845|864|883|902|921|940,PH,day_hydro_upper_then_lower
20260811_155000_stage_B_2C_30day_full_final,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D001-HYDRO04-LOWER,1,4,lower,8,30988,33630,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,443|462|481|500|519|538|557|581|605|629|653|677|701|725|749|773|797|821|845|864|883|902|921|940,PH,day_hydro_upper_then_lower
20260811_155000_stage_B_2C_30day_full_final,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D002-HYDRO01-UPPER,2,1,upper,9,30989,33631,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,956|975|994|1013|1032|1051|1070|1094|1118|1142|1166|1190|1214|1238|1262|1286|1310|1334|1358|1377|1396|1415|1434|1453,PH,day_hydro_upper_then_lower
20260811_155000_stage_B_2C_30day_full_final,stage_B,B-2C,daily_hydro_water,INEQ-WATER-D002-HYDRO01-LOWER,2,1,lower,10,30990,33632,24,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,24,956|975|994|1013|1032|1051|1070|1094|1118|1142|1166|1190|1214|1238|1262|1286|1310|1334|1358|1377|1396|1415|1434|1453,PH,day_hydro_upper_then_lower
