run_id,capacity_index,capacity_name,value
20260811_155000_stage_B_2C_30day_full_final,1,QW1,1679.9999998019744
20260811_155000_stage_B_2C_30day_full_final,2,QW2,1029.9999997429384
20260811_155000_stage_B_2C_30day_full_final,3,QW3,1279.9999997183779
20260811_155000_stage_B_2C_30day_full_final,4,QW4,949.99999977574737
20260811_155000_stage_B_2C_30day_full_final,5,QW5,1059.9999997501218
20260811_155000_stage_B_2C_30day_full_final,6,QP1,1136.0000004105921
20260811_155000_stage_B_2C_30day_full_final,7,QP2,1080.0000004079488
20260811_155000_stage_B_2C_30day_full_final,8,QP3,960.00000039107988
20260811_155000_stage_B_2C_30day_full_final,9,QP4,840.0000003879054
20260811_155000_stage_B_2C_30day_full_final,10,QP5,784.00000036005156
20260811_155000_stage_B_2C_30day_full_final,11,QS1,299.99999719922471
20260811_155000_stage_B_2C_30day_full_final,12,QS2,293.94446129384835
20260811_155000_stage_B_2C_30day_full_final,13,ES1,599.99999439844942
20260811_155000_stage_B_2C_30day_full_final,14,ES2,587.8889225876967
